home,away,predict_kp,date,draft_kings,line,home_cover,percent_chance,bet
Pepperdine,Portland,12,2021-01-16,13.0,12.425411088754085,1.0,0.5733940111344522,Pepperdine
North Dakota,North Dakota St.,-6,2021-01-16,-6.0,-9.760052616094928,0.0,0.5728671368484222,North Dakota St.
Miami FL,Louisville,-4,2021-01-16,-3.5,-6.5598393495149345,0.0,0.5725784782769142,Louisville
Central Michigan,Eastern Michigan,1,2021-01-16,-0.5,0.168852505084228,0.0,0.5724872784767199,Eastern Michigan
Eastern Illinois,Eastern Kentucky,-1,2021-01-16,-0.5,1.4385192577502828,1.0,0.570759543552445,Eastern Illinois
Navy,American,7,2021-01-16,8.5,7.086829702216033,1.0,0.5702650208538924,Navy
Eastern Washington,Southern Utah,7,2021-01-16,5.5,5.747680735529723,0.0,0.5690204329084669,Southern Utah
Tennessee,Vanderbilt,17,2021-01-16,18.0,15.699599051260858,1.0,0.5689334149607286,Tennessee
Northern Kentucky,IUPUI,5,2021-01-16,7.0,5.494479782937486,1.0,0.5681705730627058,Northern Kentucky
Charleston,Northeastern,-2,2021-01-16,-1.0,-1.839706752348281,1.0,0.5675484209648956,Charleston
Mercer,Western Carolina,5,2021-01-16,6.5,4.912587601917746,0.0,0.5669294764361417,Western Carolina
Cal Poly,UC Riverside,-11,2021-01-16,-10.0,-12.474504526077784,0.0,0.5661484115013946,UC Riverside
Montana,Northern Arizona,11,2021-01-16,12.5,9.193945495654187,0.0,0.5641161395707921,Northern Arizona
Florida Gulf Coast,Bellarmine,2,2021-01-16,1.5,0.43821342382527106,0.0,0.5636533146789146,Bellarmine
Samford,UNC Greensboro,-7,2021-01-16,-7.0,-6.400113571165608,0.0,0.5633019115695685,UNC Greensboro
Clemson,Virginia,2,2021-01-16,-2.0,-2.84810511109578,0.0,0.5624042451996687,Virginia
Mississippi,Georgia,8,2021-01-16,8.0,6.297383789179047,1.0,0.562281696042965,Mississippi
Central Arkansas,Nicholls St.,-2,2021-01-16,-3.5,-0.48415657213840646,0.0,0.5613941243935883,Nicholls St.
Colgate,Holy Cross,19,2021-01-16,19.0,19.21492827985473,1.0,0.5598170909736937,Colgate
New Orleans,McNeese St.,6,2021-01-16,5.0,5.374469086801792,0.0,0.5594273753371802,McNeese St.
North Texas,UTEP,8,2021-01-16,8.0,6.637515138388164,1.0,0.5592034494994554,North Texas
Utah St.,San Diego St.,2,2021-01-16,3.5,-1.8708806089880348,0.0,0.5588687011242859,San Diego St.
Pittsburgh,Syracuse,-2,2021-01-16,-4.5,-4.028343896792055,0.0,0.5575972418822328,Syracuse
Marist,Fairfield,7,2021-01-16,5.5,6.737227431202836,1.0,0.5573388691510177,Marist
Detroit,Green Bay,6,2021-01-16,6.0,5.332724465250745,0.0,0.556962680905388,Green Bay
Louisiana Tech,UTSA,9,2021-01-16,8.0,6.736936888197487,0.0,0.5547443404664524,UTSA
Chattanooga,Wofford,-1,2021-01-16,-2.0,-1.9787147822602726,0.0,0.5542879296894976,Wofford
Saint Mary's,Gonzaga,-13,2021-01-16,-15.0,-15.743209683678007,0.0,0.552781732819058,Gonzaga
Tennessee Martin,Murray St.,-12,2021-01-16,-12.0,-11.277224270166332,0.0,0.5520836257552206,Murray St.
Milwaukee,Purdue Fort Wayne,2,2021-01-16,2.5,0.7759356905055732,0.0,0.549192331381768,Purdue Fort Wayne
Illinois St.,Indiana St.,-4,2021-01-16,-4.5,-4.2757564894819104,0.0,0.5490898986520876,Indiana St.
Drexel,William & Mary,9,2021-01-16,8.0,8.621595043317395,1.0,0.5479382795020129,Drexel
Illinois Chicago,Robert Morris,3,2021-01-16,4.0,1.3708580388316385,0.0,0.5465704020489937,Robert Morris
UC Santa Barbara,UC San Diego,8,2021-01-16,12.0,7.982336671308186,1.0,0.5443170364763593,UC Santa Barbara
Pacific,Loyola Marymount,2,2021-01-16,1.0,1.2228585927808346,1.0,0.5435522452292612,Pacific
Texas Tech,Baylor,-4,2021-01-16,-4.5,-6.438664155209214,0.0,0.5429757333970583,Baylor
Oregon St.,Arizona St.,-6,2021-01-16,-6.0,-5.386373412953521,1.0,0.5428621845765108,Oregon St.
Loyola Chicago,Northern Iowa,11,2021-01-16,9.5,9.164581812713475,1.0,0.5426643075213724,Loyola Chicago
Idaho,Northern Colorado,-8,2021-01-16,-8.5,-8.378380498063553,0.0,0.5426194950777068,Northern Colorado
Boston University,Army,2,2021-01-16,1.5,2.174396161914924,1.0,0.5407441416251927,Boston University
Alabama,Arkansas,4,2021-01-16,2.0,3.487636130191998,0.0,0.5400989218206913,Arkansas
Georgia Southern,Troy,3,2021-01-16,5.5,3.4873778775242634,1.0,0.5395161037743652,Georgia Southern
Charlotte,UAB,-5,2021-01-16,-2.5,-7.079748003306481,1.0,0.5376976515865698,Charlotte
Georgia St.,Coastal Carolina,6,2021-01-16,7.0,5.532989863189396,0.0,0.5376136106864167,Coastal Carolina
UNLV,New Mexico,10,2021-01-16,10.5,10.167267815111483,1.0,0.5367479855149241,UNLV
Notre Dame,Boston College,3,2021-01-16,5.0,3.34066279158915,1.0,0.5349887985424686,Notre Dame
Florida St.,North Carolina,3,2021-01-16,4.5,3.3270792697255978,1.0,0.5330764748646685,Florida St.
Jacksonville St.,Belmont,-6,2021-01-16,-5.5,-8.264895855407463,0.0,0.5324193079286703,Belmont
Alcorn St.,Mississippi Valley St.,15,2021-01-16,15.5,15.541104827795248,1.0,0.5307839966381096,Alcorn St.
Tennessee Tech,Tennessee St.,-1,2021-01-16,-1.5,0.3075827259131181,1.0,0.5300428140431682,Tennessee Tech
San Francisco,BYU,-1,2021-01-16,-1.5,-1.63714331191564,0.0,0.5292442313455483,BYU
Abilene Christian,Southeastern Louisiana,16,2021-01-16,15.5,13.821179757646018,1.0,0.5284654952647062,Abilene Christian
UT Arlington,Louisiana,3,2021-01-16,3.5,4.331785542118407,1.0,0.5279722172157775,UT Arlington
Alabama A&M,Alabama St.,7,2021-01-16,7.5,7.036761278951413,1.0,0.5261896106025818,Alabama A&M
Montana St.,Portland St.,9,2021-01-16,6.5,8.452592846633504,1.0,0.5260385863834274,Montana St.
Little Rock,Texas St.,3,2021-01-16,4.0,2.915883701853314,1.0,0.5250485713958677,Little Rock
Auburn,Kentucky,-1,2021-01-16,3.0,-0.7754314153033626,0.0,0.5235041011944455,Kentucky
Mississippi St.,Florida,-2,2021-01-16,-1.0,-2.6220831549917314,1.0,0.5230951326768533,Mississippi St.
Towson,James Madison,4,2021-01-16,2.0,3.923826987767125,1.0,0.5225234607026682,Towson
Lipscomb,North Florida,7,2021-01-16,7.0,6.714411973021139,0.0,0.5222068727113904,North Florida
Texas,Kansas St.,19,2021-01-16,17.0,17.283075231391432,1.0,0.5221075195809651,Texas
VMI,The Citadel,6,2021-01-16,4.0,6.487401521129211,0.0,0.5214463701339935,The Citadel
Rhode Island,George Mason,8,2021-01-16,7.0,7.381237002235263,1.0,0.5195534404976233,Rhode Island
UT Rio Grande Valley,Dixie St.,10,2021-01-16,10.0,8.579340148495458,0.0,0.5189534751329847,Dixie St.
Texas A&M,Missouri,-3,2021-01-16,-4.5,-5.705511451289372,1.0,0.5189315330104883,Texas A&M
Rice,Old Dominion,-2,2021-01-16,-3.5,-1.4254614509726942,0.0,0.5184788773701658,Old Dominion
DePaul,Valparaiso,10,2021-01-16,9.0,8.627346171030265,0.0,0.513965517779593,Valparaiso
Southeast Missouri St.,Morehead St.,-2,2021-01-16,-1.5,-3.1519968062962143,0.0,0.5134085157987518,Morehead St.
Binghamton,UMass Lowell,-6,2021-01-16,-5.5,-5.804071155466364,1.0,0.5133485631789991,Binghamton
Ball St.,Northern Illinois,12,2021-01-16,10.5,11.934340472825536,1.0,0.511470869920639,Ball St.
Southern,Arkansas Pine Bluff,10,2021-01-16,10.0,8.953625147477833,1.0,0.5113045187720242,Southern
UMBC,Hartford,6,2021-01-16,5.5,4.4893350911025856,0.0,0.5112045524178823,Hartford
Stony Brook,New Hampshire,3,2021-01-16,3.0,2.10251546803455,1.0,0.5105861011434492,Stony Brook
Incarnate Word,Stephen F. Austin,-10,2021-01-16,-12.5,-9.072057447416501,1.0,0.5105468478724208,Incarnate Word
Ohio,Kent St.,4,2021-01-16,3.0,3.7580840394374597,1.0,0.5103722655710006,Ohio
Cal Baptist,Tarleton St.,5,2021-01-16,5.5,6.319860663462901,1.0,0.5102449445152293,Cal Baptist
Florida Atlantic,FIU,-1,2021-01-16,-0.5,-1.1426641425305384,0.0,0.5084199447672523,FIU
Bradley,Evansville,10,2021-01-16,8.5,9.19779570834815,1.0,0.5075721381319577,Bradley
Kennesaw St.,North Alabama,-7,2021-01-16,-6.0,-8.227188466662657,0.0,0.5064167109577594,North Alabama
Utah,California,10,2021-01-16,11.5,9.158023739081482,1.0,0.5049062578726261,Utah
Wright St.,Cleveland St.,7,2021-01-16,8.0,6.669292197928311,0.0,0.5044970072041332,Cleveland St.
Air Force,Wyoming,-1,2021-01-16,-2.5,-2.1438621557510835,1.0,0.5042108408267473,Air Force
Tulane,Temple,-1,2021-01-16,1.0,-2.7858922737934826,1.0,0.5021150049613091,Tulane
Arkansas St.,Louisiana Monroe,2,2021-01-16,2.0,1.906608140198582,0.0,0.5020891936295728,Louisiana Monroe
South Alabama,Appalachian St.,2,2021-01-16,2.0,2.1474972321949615,1.0,0.501109788762571,South Alabama
Seattle,Utah Valley,1,2021-01-16,1.5,0.8008592402134944,0.0,0.5005917210702497,Utah Valley
Lafayette,Loyola MD,5,2021-01-16,6.0,5.709333529424054,0.0,0.5002519068698132,Loyola MD
