home,away,home_score,away_score,date,line,score,cover
East Carolina,James Madison,72.0,73.0,2018-11-09,-2.5,-1.0,1
Auburn,Washington,88.0,66.0,2018-11-09,8.5,22.0,1
Northern Illinois,Northern Kentucky,85.0,88.0,2018-11-09,-4.0,-3.0,1
Penn,Rice,92.0,76.0,2018-11-09,15.0,16.0,1
Texas St.,Air Force,67.0,57.0,2018-11-09,5.0,10.0,1
Nevada,Pacific,83.0,61.0,2018-11-09,20.0,22.0,1
UC Davis,San Diego,57.0,76.0,2018-11-09,-3.5,-19.0,0
California,Yale,59.0,76.0,2018-11-09,-3.0,-17.0,0
UCLA,Long Beach St.,91.0,80.0,2018-11-09,15.5,11.0,0
Hawaii,Portland,82.0,64.0,2018-11-09,6.0,18.0,1
Navy,Maryland,57.0,78.0,2018-11-09,-13.5,-21.0,0
Pittsburgh,VMI,94.0,55.0,2018-11-09,13.0,39.0,1
LSU,UNC Greensboro,97.0,91.0,2018-11-09,8.5,6.0,0
Loyola Chicago,Furman,58.0,60.0,2018-11-09,9.5,-2.0,0
Mississippi St.,Austin Peay,95.0,67.0,2018-11-09,18.5,28.0,1
Indiana,Montana St.,80.0,35.0,2018-11-09,25.5,45.0,1
Samford,Jacksonville St.,92.0,72.0,2018-11-09,-9.0,20.0,1
Montana,Georgia St.,81.0,74.0,2018-11-09,5.5,7.0,1
Oregon,Eastern Washington,81.0,47.0,2018-11-09,19.0,34.0,1
Florida,Charleston Southern,76.0,46.0,2018-11-09,20.0,30.0,1
Georgia,None,110.0,76.0,2018-11-09,24.5,34.0,1
Duquesne,William & Mary,84.0,70.0,2018-11-10,4.0,14.0,1
Mississippi,Western Michigan,90.0,64.0,2018-11-10,12.5,26.0,1
Purdue,Ball St.,84.0,75.0,2018-11-10,13.5,9.0,0
Saint Louis,Troy,62.0,58.0,2018-11-10,10.0,4.0,0
Xavier,Evansville,91.0,85.0,2018-11-10,18.0,6.0,0
Butler,Miami OH,90.0,68.0,2018-11-10,16.0,22.0,1
Charlotte,Oklahoma St.,66.0,64.0,2018-11-10,-12.0,2.0,1
UT Arlington,Northern Iowa,74.0,65.0,2018-11-10,-4.0,9.0,1
Oregon St.,Wyoming,83.0,64.0,2018-11-10,9.5,19.0,1
Portland,North Texas,73.0,78.0,2018-11-10,-7.5,-5.0,1
UNLV,Loyola Marymount,50.0,61.0,2018-11-10,4.0,-11.0,0
Cleveland St.,Kent St.,79.0,83.0,2018-11-10,-3.0,-4.0,0
Syracuse,Morehead St.,84.0,70.0,2018-11-10,23.0,14.0,0
Western Carolina,Charleston,74.0,77.0,2018-11-10,-11.0,-3.0,1
IUPUI,Eastern Illinois,71.0,65.0,2018-11-10,6.0,6.0,2
Bradley,Southeast Missouri St.,68.0,57.0,2018-11-10,15.0,11.0,0
Western Kentucky,Tennessee Martin,86.0,71.0,2018-11-10,15.0,15.0,2
Saint Peter's,Delaware,75.0,78.0,2018-11-10,4.5,-3.0,0
Marist,Columbia,82.0,76.0,2018-11-10,3.0,6.0,1
Chattanooga,Eastern Kentucky,78.0,81.0,2018-11-10,5.0,-3.0,0
Milwaukee,North Dakota,60.0,63.0,2018-11-10,5.5,-3.0,0
Boise St.,Idaho St.,70.0,72.0,2018-11-10,14.0,-2.0,0
Villanova,Quinnipiac,86.0,53.0,2018-11-10,24.0,33.0,1
Belmont,Illinois St.,100.0,89.0,2018-11-10,3.0,11.0,1
Murray St.,Wright St.,73.0,54.0,2018-11-10,3.0,19.0,1
San Jose St.,Southern Utah,59.0,66.0,2018-11-10,-1.0,-7.0,0
Portland St.,UC Riverside,71.0,64.0,2018-11-10,8.0,7.0,0
Marquette,Bethune Cookman,92.0,59.0,2018-11-10,26.0,33.0,1
Georgetown,Central Connecticut,85.0,78.0,2018-11-10,18.0,7.0,0
Alabama,Appalachian St.,81.0,73.0,2018-11-11,14.0,8.0,0
Marshall,Hofstra,76.0,72.0,2018-11-11,7.5,4.0,0
Virginia,George Washington,76.0,57.0,2018-11-11,25.5,19.0,0
UCF,Florida Atlantic,79.0,80.0,2018-11-11,19.5,-1.0,0
Iowa,Green Bay,93.0,82.0,2018-11-11,19.5,11.0,0
Rutgers,Drexel,95.0,66.0,2018-11-11,13.0,29.0,1
SMU,Southern Miss,64.0,74.0,2018-11-11,11.0,-10.0,0
North Dakota St.,UC Santa Barbara,82.0,63.0,2018-11-11,1.0,19.0,1
South Florida,Austin Peay,74.0,70.0,2018-11-12,1.0,4.0,1
Charleston,Rhode Island,66.0,55.0,2018-11-13,2.0,11.0,1
Georgia Southern,George Mason,98.0,89.0,2018-11-13,3.5,9.0,1
LSU,Memphis,85.0,76.0,2018-11-13,11.0,9.0,0
Massachusetts,Harvard,71.0,74.0,2018-11-13,3.5,-3.0,0
Oakland,Western Michigan,77.0,85.0,2018-11-13,4.0,-8.0,0
Temple,Georgia,81.0,77.0,2018-11-13,3.5,4.0,1
FIU,Milwaukee,86.0,83.0,2018-11-13,5.0,3.0,0
Colorado,Drake,100.0,71.0,2018-11-13,13.5,29.0,1
Tulane,Coastal Carolina,81.0,76.0,2018-11-13,4.5,5.0,1
Illinois,Georgetown,80.0,88.0,2018-11-13,6.0,-8.0,0
Loyola Marymount,Cal St. Northridge,79.0,64.0,2018-11-13,14.0,15.0,1
Tennessee,Georgia Tech,66.0,53.0,2018-11-13,15.5,13.0,0
UNLV,UC Riverside,72.0,51.0,2018-11-13,11.5,21.0,1
UNC Wilmington,UNC Greensboro,61.0,82.0,2018-11-13,-6.0,-21.0,0
Georgia St.,Mercer,62.0,60.0,2018-11-13,11.0,2.0,0
Tennessee St.,Little Rock,67.0,83.0,2018-11-13,6.0,-16.0,0
New Mexico,Iona,90.0,83.0,2018-11-13,7.0,7.0,2
Northern Colorado,Pepperdine,88.0,80.0,2018-11-13,9.5,8.0,0
Miami FL,Stephen F. Austin,96.0,58.0,2018-11-13,-21.5,38.0,1
Providence,Holy Cross,70.0,61.0,2018-11-13,-9.5,9.0,1
Central Connecticut,UMass Lowell,86.0,74.0,2018-11-13,14.5,12.0,0
Louisville,Southern,104.0,54.0,2018-11-13,19.5,50.0,1
California,Hampton,80.0,66.0,2018-11-13,7.0,14.0,1
Villanova,Michigan,46.0,73.0,2018-11-14,7.0,-27.0,0
Wright St.,Toledo,84.0,74.0,2018-11-14,3.0,10.0,1
Duke,Eastern Michigan,84.0,46.0,2018-11-14,22.5,38.0,1
Boston College,IUPUI,69.0,76.0,2018-11-14,16.5,-7.0,0
Michigan St.,Louisiana Monroe,80.0,59.0,2018-11-14,25.0,21.0,0
Colorado St.,Montana St.,81.0,77.0,2018-11-14,11.0,4.0,0
Creighton,Ohio St.,60.0,69.0,2018-11-15,-2.5,-9.0,0
BYU,Oral Roberts,85.0,65.0,2018-11-15,17.5,20.0,1
Idaho St.,Pacific,76.0,83.0,2018-11-15,-1.5,-7.0,0
Bowling Green,North Carolina Central,75.0,60.0,2018-11-15,8.5,15.0,1
Pittsburgh,Central Arkansas,97.0,71.0,2018-11-15,12.0,26.0,1
Quinnipiac,Hartford,54.0,68.0,2018-11-15,3.0,-14.0,0
Lipscomb,Belmont,83.0,87.0,2018-11-15,-2.0,-4.0,0
Kansas,Lafayette,89.0,76.0,2018-11-16,21.5,13.0,0
LSU,Louisiana Tech,74.0,67.0,2018-11-16,11.0,7.0,0
Nevada,Little Rock,87.0,59.0,2018-11-16,26.5,28.0,1
Eastern Washington,Green Bay,78.0,82.0,2018-11-16,6.0,-4.0,0
South Alabama,Chattanooga,73.0,54.0,2018-11-16,10.0,19.0,1
Dayton,Purdue Fort Wayne,91.0,80.0,2018-11-16,10.5,11.0,1
North Carolina,Tennessee Tech,108.0,58.0,2018-11-16,35.5,50.0,1
Mercer,Tennessee Martin,77.0,60.0,2018-11-16,7.5,17.0,1
Texas,The Citadel,97.0,69.0,2018-11-16,22.0,28.0,1
Colorado,Nebraska Omaha,79.0,75.0,2018-11-16,16.5,4.0,0
Wyoming,Niagara,67.0,72.0,2018-11-16,6.5,-5.0,0
Baylor,Nicholls St.,81.0,54.0,2018-11-16,19.0,27.0,1
Tulsa,Cal Baptist,82.0,79.0,2018-11-16,14.0,3.0,0
Northwestern,Binghamton,82.0,54.0,2018-11-16,20.0,28.0,1
Georgia,Sam Houston St.,75.0,64.0,2018-11-16,15.0,11.0,0
Vanderbilt,Alcorn St.,79.0,54.0,2018-11-16,26.0,25.0,0
La Salle,Drexel,84.0,89.0,2018-11-17,10.0,-5.0,0
Notre Dame,William & Mary,73.0,64.0,2018-11-17,11.5,9.0,0
Memphis,Yale,109.0,102.0,2018-11-17,4.5,7.0,1
Cal St. Northridge,Portland,77.0,80.0,2018-11-17,-3.0,-3.0,2
Villanova,Furman,68.0,76.0,2018-11-17,16.0,-8.0,0
Eastern Illinois,Western Illinois,68.0,66.0,2018-11-17,1.5,2.0,1
Duquesne,Radford,69.0,64.0,2018-11-17,-1.0,5.0,1
Pittsburgh,North Alabama,71.0,66.0,2018-11-17,19.0,5.0,0
Fairfield,Wagner,73.0,79.0,2018-11-17,4.0,-6.0,0
Marquette,Presbyterian,74.0,55.0,2018-11-17,23.0,19.0,0
Miami FL,Bethune Cookman,78.0,70.0,2018-11-17,26.5,8.0,0
N.C. State,Maine,82.0,63.0,2018-11-17,33.5,19.0,0
Winthrop,East Tennessee St.,74.0,76.0,2018-11-17,1.0,-2.0,0
Eastern Michigan,Boston University,80.0,62.0,2018-11-17,7.0,18.0,1
Rice,Northwestern St.,102.0,74.0,2018-11-17,8.5,28.0,1
Lamar,Prairie View A&M,74.0,67.0,2018-11-17,4.0,7.0,1
Wright St.,North Florida,89.0,72.0,2018-11-17,10.0,17.0,1
Texas A&M Corpus Chris,UC Davis,54.0,57.0,2018-11-17,-6.0,-3.0,1
Army,UMass Lowell,85.0,92.0,2018-11-17,6.5,-7.0,0
Canisius,Albany,66.0,75.0,2018-11-17,9.5,-9.0,0
Northern Kentucky,Coastal Carolina,89.0,83.0,2018-11-18,9.5,6.0,0
Oklahoma,Wofford,75.0,64.0,2018-11-18,10.0,11.0,1
Cleveland St.,Samford,60.0,73.0,2018-11-18,2.0,-13.0,0
Kentucky,VMI,92.0,82.0,2018-11-18,33.0,10.0,0
Michigan St.,Tennessee Tech,101.0,33.0,2018-11-18,33.0,68.0,1
Hawaii,Northern Arizona,85.0,68.0,2018-11-18,9.5,17.0,1
Evansville,Texas Southern,85.0,63.0,2018-11-18,4.0,22.0,1
UMass Lowell,Sacred Heart,94.0,90.0,2018-11-18,2.0,4.0,1
Ohio St.,South Carolina St.,89.0,61.0,2018-11-18,32.0,28.0,0
Navy,Bryant,83.0,79.0,2018-11-18,8.0,4.0,0
Lafayette,St. Francis NY,72.0,84.0,2018-11-18,5.5,-12.0,0
Chattanooga,Jacksonville,66.0,74.0,2018-11-18,1.0,-8.0,0
Troy,Central Arkansas,82.0,77.0,2018-11-18,9.5,5.0,0
Seattle,Southern Utah,70.0,73.0,2018-11-18,4.5,-3.0,0
Brown,Army,86.0,66.0,2018-11-18,4.0,20.0,1
Maryland,Mount St. Mary's,92.0,77.0,2018-11-18,26.0,15.0,0
Kent St.,Alcorn St.,79.0,48.0,2018-11-18,16.0,31.0,1
San Francisco,LIU,84.0,52.0,2018-11-18,16.5,32.0,1
Cincinnati,Western Michigan,78.0,52.0,2018-11-19,17.5,26.0,1
Rutgers,Eastern Michigan,63.0,36.0,2018-11-19,4.5,27.0,1
Tulsa,Little Rock,88.0,78.0,2018-11-19,12.0,10.0,0
Washington St.,Cal Poly,84.0,70.0,2018-11-19,11.5,14.0,1
Florida Gulf Coast,Toledo,62.0,90.0,2018-11-19,-2.0,-28.0,0
Detroit,Loyola MD,91.0,63.0,2018-11-19,2.0,28.0,1
Florida St.,Canisius,93.0,61.0,2018-11-19,17.0,32.0,1
South Alabama,Southeast Missouri St.,79.0,58.0,2018-11-19,6.5,21.0,1
Sam Houston St.,Jackson St.,75.0,60.0,2018-11-19,11.5,15.0,1
Rider,Coppin St.,87.0,67.0,2018-11-19,23.5,20.0,0
Marshall,North Carolina A&T,95.0,71.0,2018-11-19,23.0,24.0,1
North Carolina,St. Francis PA,101.0,76.0,2018-11-19,26.0,25.0,0
Notre Dame,Duquesne,67.0,56.0,2018-11-20,9.0,11.0,1
San Diego,Colorado,70.0,64.0,2018-11-20,4.0,6.0,1
Detroit,Bowling Green,82.0,67.0,2018-11-20,-3.0,15.0,1
SMU,Bradley,62.0,75.0,2018-11-20,2.0,-13.0,0
Penn St.,Wright St.,77.0,59.0,2018-11-20,7.0,18.0,1
N.C. State,Saint Peter's,85.0,57.0,2018-11-20,21.5,28.0,1
James Madison,The Citadel,82.0,91.0,2018-11-20,7.5,-9.0,0
Ohio St.,Samford,68.0,50.0,2018-11-20,23.5,18.0,0
Cal St. Northridge,Tennessee St.,80.0,77.0,2018-11-20,0.0,3.0,1
UC Davis,Sacramento St.,55.0,58.0,2018-11-20,2.0,-3.0,0
Kent St.,None,104.0,84.0,2018-11-20,19.0,20.0,1
Mississippi,Nicholls St.,75.0,55.0,2018-11-20,18.5,20.0,1
Albany,Holy Cross,65.0,69.0,2018-11-20,-1.0,-4.0,0
George Mason,North Carolina Central,78.0,63.0,2018-11-20,10.5,15.0,1
Wagner,NJIT,60.0,71.0,2018-11-20,3.5,-11.0,0
William & Mary,Radford,72.0,81.0,2018-11-20,2.5,-9.0,0
New Hampshire,Quinnipiac,63.0,69.0,2018-11-20,-2.0,-6.0,0
Mississippi Valley St.,Southeastern Louisiana,69.0,59.0,2018-11-20,-6.5,10.0,1
Mercer,Maryland Eastern Shore,80.0,42.0,2018-11-20,15.0,38.0,1
Morgan St.,Navy,75.0,51.0,2018-11-20,-3.0,24.0,1
Bethune Cookman,Nebraska Omaha,56.0,76.0,2018-11-20,0.0,-20.0,0
Purdue Fort Wayne,South Carolina St.,72.0,68.0,2018-11-20,16.5,4.0,0
Milwaukee,LIU,92.0,87.0,2018-11-20,3.0,5.0,1
TCU,Lipscomb,64.0,73.0,2018-11-20,12.5,-9.0,0
North Texas,Maine,74.0,63.0,2018-11-20,19.5,11.0,0
Stephen F. Austin,Marist,64.0,60.0,2018-11-20,8.5,4.0,0
Pittsburgh,Saint Louis,75.0,73.0,2018-11-21,-4.0,2.0,1
Buffalo,Dartmouth,110.0,71.0,2018-11-21,18.5,39.0,1
Hofstra,Cal St. Fullerton,80.0,71.0,2018-11-21,4.5,9.0,1
Washington,Minnesota,66.0,68.0,2018-11-21,1.0,-2.0,0
BYU,Rice,105.0,78.0,2018-11-21,17.5,27.0,1
San Francisco,Harvard,61.0,57.0,2018-11-21,6.0,4.0,0
Florida Gulf Coast,UTSA,65.0,76.0,2018-11-21,2.5,-11.0,0
Portland,USC Upstate,73.0,56.0,2018-11-21,9.5,17.0,1
Tennessee Martin,Western Illinois,92.0,90.0,2018-11-21,2.5,2.0,0
Valparaiso,SIU Edwardsville,75.0,70.0,2018-11-21,15.0,5.0,0
Arkansas,Montana St.,90.0,68.0,2018-11-21,21.0,22.0,1
Kentucky,Winthrop,87.0,74.0,2018-11-21,21.0,13.0,0
Drexel,Boston University,86.0,67.0,2018-11-21,0.0,19.0,1
Mount St. Mary's,North Carolina A&T,60.0,74.0,2018-11-21,5.5,-14.0,0
Siena,Lehigh,69.0,80.0,2018-11-21,-1.5,-11.0,0
Wofford,Coppin St.,98.0,65.0,2018-11-21,-23.5,33.0,1
Princeton,Fairleigh Dickinson,66.0,77.0,2018-11-21,9.5,-11.0,0
East Carolina,Prairie View A&M,76.0,64.0,2018-11-21,3.0,12.0,1
Vermont,Yale,79.0,70.0,2018-11-21,3.5,9.0,1
UMKC,Drake,63.0,66.0,2018-11-21,-1.0,-3.0,0
Syracuse,Colgate,77.0,56.0,2018-11-21,17.5,21.0,1
South Florida,Florida A&M,69.0,59.0,2018-11-21,14.5,10.0,0
Georgia Tech,UT Rio Grande Valley,72.0,44.0,2018-11-21,17.5,28.0,1
Incarnate Word,Northern Colorado,64.0,90.0,2018-11-21,-9.5,-26.0,0
Iowa,Alabama St.,105.0,78.0,2018-11-21,26.5,27.0,1
Loyola Marymount,Central Connecticut,76.0,74.0,2018-11-21,12.0,2.0,0
Wisconsin,Oklahoma,78.0,58.0,2018-11-22,4.5,20.0,1
Virginia,Dayton,66.0,59.0,2018-11-22,13.0,7.0,0
Stanford,Florida,49.0,72.0,2018-11-22,-6.5,-23.0,0
Middle Tennessee,Butler,53.0,84.0,2018-11-22,-11.5,-31.0,0
Pacific,UC Riverside,74.0,54.0,2018-11-22,13.0,20.0,1
Maryland,Marshall,104.0,67.0,2018-11-23,7.5,37.0,1
Indiana,UC Davis,76.0,62.0,2018-11-23,22.0,14.0,0
Old Dominion,Northern Iowa,72.0,65.0,2018-11-23,7.0,7.0,2
Texas A&M,South Alabama,74.0,62.0,2018-11-23,12.5,12.0,0
Arkansas,UT Arlington,78.0,60.0,2018-11-23,15.5,18.0,1
Ohio St.,Cleveland St.,89.0,62.0,2018-11-23,26.0,27.0,1
Vanderbilt,Kent St.,75.0,77.0,2018-11-23,12.5,-2.0,0
St. Francis NY,IUPUI,48.0,68.0,2018-11-23,-5.5,-20.0,0
Portland,Cal Poly,72.0,67.0,2018-11-23,9.0,5.0,0
Seattle,Denver,82.0,63.0,2018-11-23,2.0,19.0,1
Pacific,Abilene Christian,71.0,73.0,2018-11-23,5.5,-2.0,0
Michigan,Chattanooga,83.0,55.0,2018-11-23,32.0,28.0,0
Portland St.,UC Santa Barbara,69.0,76.0,2018-11-23,-2.0,-7.0,0
Kentucky,Tennessee St.,77.0,62.0,2018-11-23,28.0,15.0,0
Purdue Fort Wayne,Samford,66.0,74.0,2018-11-23,5.0,-8.0,0
Delaware,UNC Greensboro,65.0,84.0,2018-11-23,-5.0,-19.0,0
Tennessee Tech,Louisiana Monroe,79.0,73.0,2018-11-23,-4.5,6.0,1
UNLV,Southern Utah,76.0,71.0,2018-11-23,10.5,5.0,0
Stetson,VMI,79.0,87.0,2018-11-23,-1.5,-8.0,0
Arkansas Pine Bluff,Cal Baptist,115.0,107.0,2018-11-23,-9.0,8.0,1
Purdue,Robert Morris,84.0,46.0,2018-11-23,25.0,38.0,1
Rutgers,Boston University,54.0,44.0,2018-11-23,12.0,10.0,0
Liberty,Alcorn St.,76.0,54.0,2018-11-23,19.0,22.0,1
Wake Forest,Houston Baptist,91.0,93.0,2018-11-23,16.0,-2.0,0
Charleston Southern,Coppin St.,93.0,67.0,2018-11-23,13.0,26.0,1
Georgia Tech,Prairie View A&M,65.0,54.0,2018-11-23,16.5,11.0,0
Little Rock,Howard,97.0,76.0,2018-11-23,7.0,21.0,1
Northwestern St.,Alabama A&M,70.0,66.0,2018-11-23,7.0,4.0,0
Milwaukee,Albany,79.0,70.0,2018-11-23,2.0,9.0,1
UT Rio Grande Valley,Lamar,77.0,75.0,2018-11-23,1.0,2.0,1
Notre Dame,DePaul,95.0,70.0,2018-11-25,4.5,25.0,1
Davidson,Northeastern,78.0,69.0,2018-11-24,6.0,9.0,1
Ball St.,Evansville,82.0,72.0,2018-11-24,10.5,10.0,0
Eastern Michigan,Detroit,74.0,78.0,2018-11-24,10.0,-4.0,0
Indiana St.,Western Kentucky,63.0,54.0,2018-11-24,-3.5,9.0,1
VCU,Hofstra,69.0,67.0,2018-11-24,4.5,2.0,0
William & Mary,Saint Joseph's,87.0,85.0,2018-11-24,-4.0,2.0,1
Air Force,Colorado,56.0,93.0,2018-11-24,-5.5,-37.0,0
UCF,Northern Kentucky,66.0,53.0,2018-11-24,11.5,13.0,1
San Jose St.,Santa Clara,63.0,71.0,2018-11-24,1.5,-8.0,0
West Virginia,Valparaiso,88.0,76.0,2018-11-24,16.0,12.0,0
New Mexico,UTEP,84.0,78.0,2018-11-24,14.5,6.0,0
BYU,Houston,62.0,76.0,2018-11-24,1.0,-14.0,0
Saint Mary's,Harvard,68.0,74.0,2018-11-24,8.5,-6.0,0
San Francisco,Dartmouth,84.0,65.0,2018-11-24,17.0,19.0,1
St. Francis NY,Niagara,75.0,63.0,2018-11-24,-7.5,12.0,1
Portland,Texas St.,68.0,91.0,2018-11-24,-0.0,-23.0,0
Seattle,Fairfield,83.0,80.0,2018-11-24,7.0,3.0,0
Pacific,Elon,65.0,57.0,2018-11-24,9.5,8.0,0
N.C. State,Mercer,78.0,74.0,2018-11-24,17.5,4.0,0
Buffalo,Marist,76.0,49.0,2018-11-24,16.5,27.0,1
Nebraska,Western Illinois,73.0,49.0,2018-11-24,22.5,24.0,1
Ohio,Austin Peay,85.0,82.0,2018-11-24,4.5,3.0,0
Monmouth,Princeton,57.0,60.0,2018-11-24,-2.0,-3.0,0
George Washington,Manhattan,70.0,43.0,2018-11-24,6.0,27.0,1
Providence,Iona,91.0,79.0,2018-11-24,11.0,12.0,1
East Tennessee St.,North Dakota St.,79.0,61.0,2018-11-24,8.0,18.0,1
North Texas,Saint Peter's,75.0,66.0,2018-11-24,12.0,9.0,0
Texas Tech,Northern Colorado,93.0,62.0,2018-11-24,16.5,31.0,1
UNC Greensboro,Louisiana Tech,80.0,73.0,2018-11-24,3.5,7.0,1
Murray St.,Missouri St.,77.0,66.0,2018-11-24,8.5,11.0,1
Idaho,UC Santa Barbara,55.0,66.0,2018-11-24,-6.5,-11.0,0
Sacramento St.,Cal St. Fullerton,87.0,82.0,2018-11-24,-4.0,5.0,1
Troy,North Alabama,77.0,58.0,2018-11-24,13.0,19.0,1
Virginia Tech,St. Francis PA,75.0,37.0,2018-11-24,20.0,38.0,1
UMBC,American,69.0,73.0,2018-11-24,3.0,-4.0,0
Western Carolina,Jacksonville,77.0,65.0,2018-11-24,1.0,12.0,1
Alcorn St.,None,75.0,80.0,2018-11-24,1.5,-5.0,0
Miami OH,Army,85.0,55.0,2018-11-24,8.0,30.0,1
Rhode Island,Stony Brook,58.0,68.0,2018-11-24,9.0,-10.0,0
Siena,Colgate,79.0,84.0,2018-11-24,0.0,-5.0,0
Bradley,Chicago St.,86.0,70.0,2018-11-24,25.5,16.0,0
LIU,NJIT,70.0,77.0,2018-11-24,1.0,-7.0,0
Kennesaw St.,Belmont,53.0,91.0,2018-11-24,-13.0,-38.0,0
Saint Louis,Central Arkansas,73.0,61.0,2018-11-24,16.5,12.0,0
Wagner,Rider,65.0,89.0,2018-11-24,-4.5,-24.0,0
Binghamton,Sacred Heart,78.0,73.0,2018-11-24,4.0,5.0,1
Kansas St.,Lehigh,77.0,58.0,2018-11-24,16.0,19.0,1
Little Rock,Arkansas Pine Bluff,66.0,75.0,2018-11-24,3.0,-9.0,0
Utah Valley,North Dakota,74.0,68.0,2018-11-24,8.0,6.0,0
San Diego,Jackson St.,76.0,58.0,2018-11-24,24.5,18.0,0
Loyola Marymount,Florida A&M,71.0,63.0,2018-11-24,20.5,8.0,0
Washington St.,Delaware St.,80.0,52.0,2018-11-24,22.5,28.0,1
Bowling Green,Drexel,81.0,71.0,2018-11-25,6.5,10.0,1
Wichita St.,Rice,90.0,61.0,2018-11-25,15.0,29.0,1
Long Beach St.,Oregon St.,72.0,75.0,2018-11-25,-7.5,-3.0,1
Seattle,Longwood,70.0,50.0,2018-11-25,10.5,20.0,1
Cleveland St.,Purdue Fort Wayne,79.0,82.0,2018-11-25,-2.5,-3.0,0
Duquesne,UMass Lowell,83.0,71.0,2018-11-25,13.0,12.0,0
Morgan St.,Mount St. Mary's,78.0,68.0,2018-11-25,3.0,10.0,1
Illinois,Mississippi Valley St.,86.0,67.0,2018-11-25,25.0,19.0,0
Liberty,None,82.0,56.0,2018-11-25,21.0,26.0,1
Vermont,Bucknell,61.0,69.0,2018-11-25,11.0,-8.0,0
Quinnipiac,Maine,58.0,50.0,2018-11-25,8.5,8.0,0
Fordham,Alabama A&M,77.0,46.0,2018-11-25,14.5,31.0,1
