team,off,def,tempo,luck
Fairfield,91.1,100.0,69.3,0.0
Wagner,94.6,103.6,71.0,0.0
USC Upstate,96.6,105.7,74.0,0.0
Charleston Southern,93.4,102.6,72.5,-0.087
James Madison,97.2,106.4,73.3,0.028
Bryant,95.1,104.4,76.0,0.0
Northwestern St.,95.8,105.1,76.1,-0.106
VMI,96.7,106.0,72.5,0.0
Columbia,92.9,102.3,72.9,0.0
LIU,93.9,103.3,75.6,0.0
William & Mary,98.6,108.0,71.9,0.0
Cal Baptist,97.6,107.1,71.9,0.0
North Carolina A&T,92.8,102.6,76.0,-0.067
Milwaukee,93.5,103.4,72.5,0.0
Rider,93.3,103.3,74.6,0.0
Manhattan,91.0,101.0,70.4,0.0
High Point,94.9,105.0,71.0,-0.191
Bellarmine,94.5,104.6,72.5,0.0
St. Francis NY,93.8,104.0,73.3,0.0
North Carolina Central,93.7,103.8,70.1,0.18
Weber St.,93.4,103.5,71.9,0.0
Utah Valley,92.8,103.0,73.8,0.0
Troy,93.0,103.2,71.7,0.231
Jacksonville,91.6,101.8,70.8,0.0
Portland,93.0,103.2,73.4,0.0
Oakland,94.9,105.2,73.4,-0.084
Denver,94.8,105.1,73.4,0.0
Tennessee St.,93.0,103.4,73.2,0.0
UMKC,93.3,103.7,70.4,0.0
Portland St.,97.3,107.8,75.1,0.0
Lehigh,95.6,106.1,72.8,0.0
Hartford,93.9,104.4,70.5,0.0
Southern Miss,93.2,103.8,70.3,0.0
Albany,92.7,103.4,71.7,0.0
Howard,97.3,108.1,73.4,0.0
North Florida,97.1,108.0,72.3,-0.063
Merrimack,90.9,101.9,68.7,0.0
Radford,93.1,104.1,68.8,-0.075
Northern Arizona,94.8,106.0,71.1,0.0
Jackson St.,90.3,101.5,71.7,0.0
Prairie View A&M,91.4,103.1,71.1,0.064
Morehead St.,93.6,105.4,70.4,0.08
Tennessee Tech,91.4,103.3,72.5,0.0
Sam Houston St.,94.5,106.5,73.9,0.0
Texas A&M Corpus Chris,93.7,105.8,70.7,0.0
Samford,95.2,107.4,75.3,0.0
Cal St. Northridge,96.1,108.5,73.3,0.0
Idaho St.,93.8,106.3,69.7,-0.001
Florida A&M,90.4,102.9,71.8,0.0
New Orleans,93.7,106.3,73.5,-0.0
Dixie St.,93.5,106.3,72.5,0.0
Evansville,90.8,103.7,67.7,-0.202
Sacred Heart,94.7,107.9,72.9,0.0
Cal Poly,91.7,105.0,72.3,0.0
Longwood,89.4,103.1,71.2,0.0
Cal St. Fullerton,90.0,103.7,73.2,0.0
Coppin St.,89.4,103.4,75.0,0.0
Southeastern Louisiana,91.0,105.2,74.6,-0.169
McNeese St.,95.8,110.2,72.8,0.0
The Citadel,95.3,109.8,77.9,0.0
Grambling St.,88.0,102.7,73.0,-0.0
Morgan St.,89.1,104.6,72.7,0.0
Southeast Missouri St.,91.6,107.4,72.8,0.0
Tennessee Martin,95.2,111.0,72.7,0.0
Tarleton St.,91.8,107.9,71.5,0.0
Hampton,92.5,109.4,74.4,0.0
SIU Edwardsville,90.8,107.7,72.8,-0.058
Idaho,90.2,107.4,72.7,0.0
Central Connecticut,90.9,108.6,72.6,-0.0
Alabama A&M,87.5,105.2,72.9,0.0
Alcorn St.,88.8,106.8,73.6,0.0
Binghamton,90.3,108.7,71.8,0.0
Presbyterian,90.9,109.5,71.3,0.0
Houston Baptist,92.7,112.3,75.8,-0.0
Western Illinois,90.4,110.1,71.9,0.0
Holy Cross,89.7,109.4,72.3,0.0
Maine,86.0,106.4,70.2,0.0
Incarnate Word,89.0,109.5,70.8,0.0
Bethune Cookman,88.4,109.0,76.3,0.0
Alabama St.,84.5,106.2,73.0,0.0
Arkansas Pine Bluff,83.9,105.7,71.3,-0.004
Kennesaw St.,85.9,108.0,72.3,0.0
Delaware St.,87.7,110.1,77.0,0.0
Maryland Eastern Shore,82.1,107.9,71.8,0.0
South Carolina St.,86.5,112.4,75.0,0.0
Chicago St.,87.3,113.2,70.8,-0.016
Mississippi Valley St.,84.0,115.6,80.1,-0.002
