home,away,home_score,away_score,home_off,home_def,home_tempo,home_luck,away_off,away_def,away_tempo,away_luck
Florida,LSU,83,79,111.2,91.3,71.9,0.027,116.4,97.5,70.2,-0.011
Boston College,Louisville,64,76,105.5,98.5,72.5,-0.078,109.6,91.3,66.6,0.223
Georgetown,Marquette,60,64,104.8,98.5,72.4,-0.084,111.7,96.3,69.1,-0.091
Louisiana Tech,Marshall,73,80,102.9,97.2,70.9,0.109,106.0,96.7,74.6,-0.061
Furman,Mercer,83,80,109.6,98.4,70.2,-0.128,102.8,103.1,72.6,0.069
Arkansas Pine Bluff,Mississippi Valley St.,92,52,86.6,108.2,71.0,0.057,84.4,117.6,74.4,-0.0
North Dakota,UMKC,52,45,95.8,105.1,67.8,-0.053,95.3,104.7,65.1,-0.112
Murray St.,Morehead St.,56,61,103.2,98.2,68.1,-0.184,94.6,105.3,65.9,-0.015
New Mexico,Nevada,74,84,97.3,103.8,70.8,0.033,101.3,97.6,72.3,0.068
Maine,New Hampshire,59,56,87.2,107.0,68.1,-0.057,94.5,99.6,71.8,0.033
Stephen F. Austin,New Orleans,78,67,98.1,99.4,72.4,0.044,93.6,107.3,70.9,-0.08
Marist,Niagara,72,86,92.4,98.0,67.7,0.172,98.2,103.9,66.3,-0.061
UMass Lowell,NJIT,67,73,97.5,103.5,70.3,-0.002,99.2,101.5,69.7,0.066
South Carolina St.,North Carolina A&T,86,97,84.1,112.3,72.9,-0.069,94.1,107.1,72.0,-0.099
Western Illinois,North Dakota St.,50,68,93.4,109.2,73.2,-0.137,99.6,100.6,66.4,0.007
Loyola Chicago,North Texas,57,49,109.2,92.9,68.1,-0.109,103.3,96.4,67.3,-0.166
Idaho,Northern Arizona,78,83,90.6,109.5,70.4,-0.072,96.0,109.9,65.9,0.063
Montana,Northern Colorado,62,64,99.0,97.4,68.0,-0.125,97.2,103.0,70.1,0.126
Evansville,Northern Iowa,65,61,95.6,105.8,64.0,0.016,105.9,99.3,71.5,-0.093
Houston Baptist,Northwestern St.,99,93,93.5,114.2,73.4,-0.0,96.3,106.8,73.3,-0.063
North Carolina,Notre Dame,66,65,109.2,90.5,72.3,-0.105,110.6,102.2,67.9,0.011
Ball St.,Ohio,68,78,101.2,98.8,70.9,0.043,104.9,101.1,69.9,-0.158
FIU,Old Dominion,66,71,103.7,104.2,73.1,-0.119,102.6,99.3,69.4,0.124
Nebraska Omaha,Oral Roberts,83,95,95.3,101.5,72.4,0.012,104.0,106.0,72.7,-0.087
Fairfield,Rider,72,56,88.1,103.7,68.6,-0.105,97.2,108.2,69.2,-0.068
Nicholls St.,Sam Houston St.,81,84,97.9,102.9,72.3,-0.031,95.8,104.6,74.4,0.109
Wofford,Samford,94,84,104.0,100.7,67.2,-0.083,98.2,106.1,75.2,-0.107
Georgia Southern,South Alabama,62,49,97.0,105.9,70.2,0.101,104.1,106.7,68.4,-0.086
Richmond,St. Bonaventure,66,69,110.7,96.5,72.0,0.094,106.6,95.9,70.8,0.028
Southeast Missouri St.,Tennessee St.,83,79,94.2,108.3,69.5,-0.049,91.6,103.0,72.0,-0.111
Eastern Illinois,Tennessee Tech,87,81,100.6,103.0,69.6,-0.05,90.1,104.2,71.2,-0.067
Little Rock,UT Arlington,75,62,105.5,103.4,70.5,0.027,101.6,102.1,72.1,-0.043
Kansas St.,TCU,60,67,100.9,99.6,65.6,0.134,106.2,94.6,69.1,0.083
Southern Miss,UTEP,62,77,93.1,102.3,67.6,0.064,97.3,98.2,69.7,-0.102
Rice,UTSA,84,69,97.6,104.6,70.9,0.033,103.6,106.0,73.5,-0.101
Louisiana,Texas St.,59,71,98.3,98.9,75.1,0.309,98.7,100.0,66.4,0.17
Western Michigan,Toledo,59,70,95.8,103.4,66.6,-0.143,107.5,99.1,68.4,-0.021
Appalachian St.,Troy,90,59,97.3,102.7,66.9,0.001,93.2,102.1,67.9,0.211
Cincinnati,Tulsa,66,70,104.5,94.0,71.5,-0.087,102.1,92.4,67.4,-0.055
USC,Utah,64,46,109.4,91.9,69.5,-0.072,108.8,95.7,68.4,-0.026
Air Force,Utah St.,53,72,96.2,105.4,63.2,0.149,105.2,93.6,69.6,-0.055
Weber St.,Utah Valley,70,62,96.1,103.0,71.9,-0.27,95.9,105.7,72.2,-0.06
Charlotte,Western Kentucky,75,71,99.2,100.3,65.0,-0.086,108.5,98.8,70.6,0.179
Hofstra,William & Mary,61,56,104.2,101.9,69.7,0.045,98.3,109.1,67.9,0.09
Oakland,Wright St.,81,71,97.4,108.3,72.5,0.02,103.4,93.7,73.4,0.02
Fresno St.,Wyoming,74,78,98.9,100.7,68.6,0.0,102.8,104.1,70.5,0.052
