home,away,home_score,away_score,home_off,home_def,home_tempo,home_luck,away_off,away_def,away_tempo,away_luck
Utah,California,60,45,106.3,100.8,66.7,0.029,101.5,100.4,65.2,0.09
Cal St. Fullerton,UC Davis,81,87,95.9,104.5,69.3,0.01,104.7,109.4,68.0,-0.024
UCSB,UC Irvine,64,61,95.9,104.5,69.3,0.01,105.4,99.3,67.7,-0.064
Cal St. Northridge,UC Riverside,61,59,107.4,113.3,70.3,0.071,95.8,99.8,63.2,-0.029
McNeese St.,Central Arkansas,76,82,103.0,112.3,69.0,-0.039,98.0,107.6,73.2,-0.021
Bryant,Central Connecticut,64,60,97.8,103.8,70.3,-0.055,90.3,114.0,69.5,-0.014
Wofford,Chattanooga,77,84,104.5,103.4,65.9,-0.019,106.6,104.8,67.0,0.025
Youngstown St.,Cleveland St.,67,55,103.0,108.5,66.4,0.038,92.9,105.7,67.1,0.048
Yale,Dartmouth,75,57,107.9,96.4,67.4,-0.026,96.7,99.9,65.8,-0.081
Norfolk St.,Delaware St.,85,57,94.2,101.9,67.5,-0.052,94.1,117.2,74.7,-0.042
Georgetown,DePaul,76,72,111.0,100.2,70.0,-0.049,103.4,95.5,70.6,0.022
Northern Kentucky,Detroit,84,65,102.0,99.8,65.7,0.074,99.9,111.7,69.3,-0.031
Northern Iowa,Drake,83,73,112.7,99.3,65.8,0.019,102.0,101.3,67.9,0.065
Tulane,East Carolina,67,81,101.9,103.1,68.7,-0.014,99.6,104.0,70.6,-0.01
Mercer,ETSU,60,73,100.1,102.7,68.1,0.014,99.6,104.0,70.6,-0.01
SIU-Edwardsville,Eastern Kentucky,83,75,100.1,102.7,68.1,0.014,95.4,104.9,74.5,0.07
Akron,Eastern Michigan,59,58,108.5,98.9,69.4,0.022,94.2,96.6,66.8,0.028
Charleston,Elon,65,72,105.0,104.9,65.9,-0.004,100.6,110.0,66.2,-0.013
Ole Miss,Florida,68,51,105.0,104.9,65.9,-0.004,112.5,95.7,64.9,-0.047
Florida Atlantic,FIU,59,66,99.7,101.3,68.8,-0.001,103.7,102.1,72.2,0.01
UNLV,Fresno St.,68,67,107.9,100.6,67.0,-0.019,105.1,104.1,64.2,-0.117
Western Carolina,Furman,73,82,107.3,106.3,71.5,0.049,107.7,98.1,68.2,0.041
USC Upstate,Gardner Webb,57,88,95.5,110.8,69.2,0.036,102.2,106.7,66.2,-0.047
Louisiana,Georgia Southern,79,86,101.3,106.2,71.8,0.02,102.2,98.8,71.8,0.005
Louisiana Monroe,Georgia St.,69,77,96.1,103.7,64.9,-0.056,105.6,101.4,73.0,-0.035
Pitt,Georgia Tech,73,64,96.1,103.7,64.9,-0.056,103.1,91.8,70.0,-0.006
Cal Baptist,Grand Canyon,98,103,105.3,108.1,68.6,0.029,103.4,112.1,68.0,0.02
UIC,Green Bay,71,58,105.3,108.1,68.6,0.029,105.8,110.5,74.0,0.045
Charleston Southern,Hampton,85,72,95.4,109.1,66.9,0.033,104.8,116.7,70.9,0.041
Brown,Harvard,72,71,96.4,101.1,69.4,0.12,104.7,99.0,68.8,0.039
Cal Poly,Hawaii,79,75,95.2,108.5,68.3,-0.038,97.6,101.0,68.4,0.029
Boston University,Holy Cross,77,68,103.3,102.6,66.3,0.002,95.9,117.3,68.3,-0.042
Florida A&M,Howard,82,78,94.4,107.3,68.6,0.1,93.6,119.7,70.2,-0.015
Illinois St.,Indiana St.,74,67,98.4,102.9,68.5,-0.005,105.8,101.2,66.4,0.043
Denver,Purdue Fort Wayne,63,70,95.0,106.8,70.9,-0.044,95.4,103.8,67.9,-0.006
NJIT,Jacksonville,54,65,94.7,105.8,66.9,-0.079,96.0,102.5,66.6,-0.072
UT-Martin,Jacksonville St.,61,75,94.7,105.8,66.9,-0.079,95.8,105.5,68.1,-0.078
Delaware,James Madison,80,78,105.6,106.4,68.3,0.074,99.5,111.6,72.1,-0.016
Iowa St.,Kansas St.,73,63,109.6,101.2,69.9,-0.092,102.5,94.2,67.2,-0.129
Abilene Christian,Lamar,84,49,99.1,100.2,68.4,-0.023,96.3,102.5,69.6,0.003
Lafayette,Lehigh,59,62,100.6,105.5,66.9,0.101,97.0,108.8,68.4,0.046
North Alabama,Liberty,56,74,96.0,105.6,70.1,-0.011,106.1,96.4,61.5,0.023
Kennesaw St.,Lipscomb,66,72,83.5,112.2,68.2,-0.042,101.2,108.0,68.7,0.053
Marshall,Louisiana Tech,83,79,101.2,99.1,74.9,-0.037,108.7,98.2,66.5,-0.023
Binghamton,Maine,75,82,99.7,116.9,68.6,0.073,92.9,106.8,65.9,-0.03
UMass-Lowell,UMBC,50,60,99.7,116.9,68.6,0.073,97.8,105.7,66.8,0.011
Morgan St.,Maryland Eastern Shore,61,53,93.2,107.5,69.6,0.039,81.7,107.8,67.5,-0.024
LIU,Merrimack,67,64,97.4,106.1,72.8,0.017,93.9,98.8,63.2,0.137
Ohio,Miami OH,77,46,103.6,103.3,68.0,-0.01,102.0,107.0,67.1,-0.022
IUPUI,Milwaukee,79,80,99.4,115.6,70.8,-0.068,96.0,104.9,69.5,-0.015
Southern Illinois,Missouri St.,68,66,98.2,98.6,64.2,-0.002,104.8,100.2,68.3,-0.083
Idaho,Montana,71,82,92.8,107.1,68.9,-0.023,103.2,100.1,68.2,0.019
Eastern Washington,Montana St.,74,49,105.4,101.1,73.1,0.121,97.0,101.6,67.3,0.056
Eastern Illinois,Morehead St.,71,65,98.2,104.5,69.1,-0.05,94.6,108.1,67.3,-0.001
St. Francis NY,Mount St. Mary's,70,67,94.6,106.5,70.3,0.024,96.4,107.5,63.2,-0.074
Tennessee St.,Murray St.,65,73,96.4,104.6,69.3,0.054,102.4,99.3,68.9,-0.03
Colgate,Navy,67,60,107.2,102.5,68.5,0.02,98.1,106.0,62.5,0.018
South Dakota St.,Nebraska Omaha,81,64,110.0,105.3,68.0,-0.022,103.2,107.7,69.2,0.077
UMKC,New Mexico St.,61,67,97.5,103.6,64.9,0.048,107.6,99.4,63.5,0.06
Stephen F. Austin,New Orleans,81,74,104.1,97.1,71.8,0.042,99.3,114.8,69.8,-0.044
Bethune Cookman,North Carolina A&T,78,73,95.4,105.8,73.0,0.012,92.3,102.4,73.7,0.068
Coppin St.,North Carolina Central,63,68,89.6,105.3,73.4,0.038,94.2,103.2,66.6,0.065
Florida Gulf Coast,North Florida,60,69,91.2,103.3,66.1,-0.032,112.0,111.6,69.4,0.034
UAB,North Texas,64,71,100.8,102.1,65.7,0.048,111.2,101.2,62.9,-0.032
Hofstra,Northeastern,75,71,108.7,102.6,67.9,0.064,105.4,103.2,65.9,-0.113
Weber St.,Northern Arizona,76,70,98.8,107.9,67.6,0.015,102.3,106.7,66.6,0.071
Houston Baptist,Northwestern St.,79,93,102.9,122.3,76.1,0.002,98.3,107.1,72.4,0.015
Wright St.,Oakland,83,71,104.9,101.4,72.1,0.033,98.6,105.0,66.1,-0.014
North Dakota St.,Oral Roberts,83,76,106.8,101.2,66.0,0.032,108.2,104.9,70.4,-0.103
Columbia,Penn,67,76,95.2,106.5,69.1,-0.13,103.4,100.8,70.2,0.025
Pacific,Pepperdine,79,78,103.8,99.1,64.9,0.072,107.2,104.4,70.8,0.034
San Diego,Portland,88,81,94.4,99.8,70.2,-0.032,94.4,104.3,69.3,-0.015
Southern Utah,Portland St.,85,57,98.8,98.1,69.3,-0.063,108.8,108.8,71.8,-0.0
Campbell,Presbyterian,79,62,96.8,105.3,65.6,-0.047,96.9,114.4,66.9,0.005
Cornell,Princeton,73,62,101.2,110.3,65.2,-0.105,107.0,105.5,66.3,-0.025
Xavier,Providence,64,58,106.1,92.2,68.1,-0.013,107.8,92.8,68.4,-0.008
Indiana,Purdue,62,74,108.5,92.7,67.9,0.016,109.3,90.8,64.6,-0.104
High Point,Radford,70,81,94.5,113.6,66.4,0.035,105.6,106.8,64.3,0.026
George Washington,Rhode Island,51,82,99.2,105.8,66.6,0.02,105.2,94.2,71.2,0.068
Middle Tennessee,Rice,83,91,97.5,108.2,69.8,0.003,105.8,108.4,70.1,-0.004
Fordham,Richmond,53,59,89.1,95.9,64.8,-0.1,109.2,95.3,69.3,0.044
Sacred Heart,Robert Morris,58,61,102.2,104.8,68.7,0.019,100.5,103.8,66.1,0.027
Idaho St.,Sacramento St.,59,63,100.8,111.1,67.4,0.008,97.1,98.2,63.9,-0.026
Wagner,St. Francis PA,68,85,97.3,113.9,67.5,-0.024,107.6,107.9,68.9,0.037
La Salle,St. Joseph's,83,66,99.6,100.4,69.1,0.057,107.6,107.9,68.9,0.037
Nicholls St.,Sam Houston St.,88,82,99.7,101.5,68.7,0.05,99.5,103.7,71.1,-0.028
BYU,San Francisco,90,76,116.3,95.6,69.5,-0.028,108.3,98.2,68.7,-0.006
Nevada,San Jose St.,95,77,110.3,101.0,71.0,-0.007,97.5,107.8,73.3,0.009
Utah Valley,Seattle,85,87,96.5,104.2,70.4,-0.092,101.2,105.5,69.9,-0.051
North Dakota,South Dakota,68,82,102.2,107.7,68.9,0.038,108.6,108.9,70.0,0.011
Memphis,South Florida,73,75,100.6,89.1,72.6,0.025,100.2,95.9,64.9,-0.047
Incarnate Word,Southeastern Louisiana,82,75,90.3,112.8,66.1,0.066,92.0,109.6,72.1,-0.008
Grambling St.,Southern,66,62,93.1,105.1,68.7,0.046,97.2,104.8,66.8,0.006
Arizona St.,USC,66,64,106.0,94.7,73.2,0.069,104.3,92.0,68.9,0.083
Temple,SMU,97,90,100.1,94.6,70.3,-0.052,112.4,103.8,64.8,0.004
Western Kentucky,Southern Miss,75,72,108.9,103.3,68.3,0.023,94.4,103.8,67.2,-0.01
Duquesne,St. Bonaventure,80,83,106.6,99.0,67.8,0.049,106.6,102.2,65.7,0.052
New Hampshire,Stony Brook,81,64,95.0,102.1,68.6,0.011,97.7,99.4,69.8,0.021
Southeast Missouri St.,Tennessee Tech,60,62,94.0,113.0,67.6,-0.016,92.5,109.3,66.9,0.025
South Carolina,Texas A&M,74,54,105.4,94.7,73.1,-0.023,101.0,97.2,64.5,0.098
Coastal Carolina,UT Arlington,89,75,104.8,106.2,72.8,-0.033,102.3,98.4,67.7,-0.13
Old Dominion,UTEP,72,53,98.3,98.3,66.4,-0.091,96.9,98.2,67.5,-0.005
Chicago St.,UT Rio Grande Valley,64,75,86.9,120.8,69.0,-0.029,98.7,106.0,70.4,-0.013
Charlotte,UTSA,91,84,98.5,98.0,65.5,0.008,104.2,108.0,72.8,-0.047
Prairie View A&M,Texas Southern,69,59,96.3,100.5,70.7,-0.001,99.1,108.6,72.9,0.086
Appalachian St.,Texas St.,60,57,99.9,100.2,67.2,0.041,106.3,98.3,65.2,-0.05
Texas,Texas Tech,57,62,104.1,92.6,65.9,0.089,109.8,90.5,67.3,-0.113
Bowling Green,Toledo,85,83,104.3,104.0,70.1,0.142,106.3,105.1,68.1,-0.057
Drexel,Towson,69,76,100.0,106.7,67.3,0.002,105.7,104.8,65.1,0.014
Mississippi St.,Vanderbilt,80,70,113.4,99.8,66.2,-0.001,104.7,104.5,69.4,-0.061
Hartford,Vermont,68,69,94.4,101.1,68.2,0.048,106.5,96.4,66.3,-0.027
The Citadel,VMI,64,75,94.9,112.2,73.7,0.02,100.2,108.1,67.9,-0.143
Syracuse,Wake Forest,75,73,112.8,99.6,68.3,-0.06,108.7,102.0,70.1,-0.034
UNC Wilmington,William & Mary,70,64,92.1,104.5,68.5,0.019,103.3,105.5,67.5,0.132
Longwood,Winthrop,68,70,91.3,105.1,67.8,-0.001,104.7,102.1,71.9,-0.044
New Mexico,Wyoming,97,68,105.3,102.4,71.8,0.044,94.1,100.9,66.7,-0.017
