home,away,home_score,away_score,home_off,home_def,home_tempo,home_luck,away_off,away_def,away_tempo,away_luck
Radford,Presbyterian,81,71,105.6,106.8,64.3,0.026,96.9,114.4,66.9,0.005
Mount St. Mary's,Robert Morris,60,77,96.4,107.5,63.2,-0.074,100.5,103.8,66.1,0.027
Pepperdine,San Diego,72,69,107.2,104.4,70.8,0.034,94.4,99.8,70.2,-0.032
Santa Clara,San Francisco,61,70,102.6,101.3,71.6,0.049,108.3,98.2,68.7,-0.006
New Mexico St.,Seattle,72,64,107.6,99.4,63.5,0.06,101.2,105.5,69.9,-0.051
Eastern Illinois,SIU-Edwardsville,74,76,98.2,104.5,69.1,-0.05,101.2,105.5,69.9,-0.051
Sacramento St.,Southern Utah,70,55,97.1,98.2,63.9,-0.026,98.8,98.1,69.3,-0.063
Southeast Missouri St.,UT-Martin,74,72,94.0,113.0,67.6,-0.016,98.8,98.1,69.3,-0.063
Belmont,Tennessee St.,74,51,106.5,100.5,70.5,0.012,96.4,104.6,69.3,0.054
Oregon St.,Utah,70,51,110.9,102.0,65.6,-0.002,106.3,100.8,66.7,0.029
UT Rio Grande Valley,Utah Valley,80,72,98.7,106.0,70.4,-0.013,96.5,104.2,70.4,-0.092
Fairleigh Dickinson,Wagner,106,73,102.1,112.4,68.9,-0.027,97.3,113.9,67.5,-0.024
USC,Washington,62,56,104.3,92.0,68.9,0.083,105.8,93.1,69.8,-0.157
UCLA,Washington St.,86,83,109.3,99.4,64.9,0.047,102.2,98.0,70.8,-0.002
Montana,Weber St.,72,37,103.2,100.1,68.2,0.019,98.8,107.9,67.6,0.015
Cal Baptist,Westcliff,107,45,105.3,108.1,68.6,0.029,98.8,107.9,67.6,0.015
UTEP,Western Kentucky,62,67,96.9,98.2,67.5,-0.005,108.9,103.3,68.3,0.023
UCF,Wichita St.,58,75,103.5,98.6,67.8,0.002,105.6,90.4,69.5,0.041
Gardner Webb,Winthrop,74,70,102.2,106.7,66.2,-0.047,104.7,102.1,71.9,-0.044
Detroit,Youngstown St.,72,76,99.9,111.7,69.3,-0.031,103.0,108.5,66.4,0.038
