home,away,home_score,away_score,home_off,home_def,home_tempo,home_luck,away_off,away_def,away_tempo,away_luck
New Mexico,UNLV,73,78,105.3,102.4,71.8,0.044,107.9,100.6,67.0,-0.019
UMBC,New Hampshire,65,59,97.8,105.7,66.8,0.011,95.0,102.1,68.6,0.011
Liberty,NJIT,62,49,106.1,96.4,61.5,0.023,94.7,105.8,66.9,-0.079
North Florida,North Alabama,80,67,112.0,111.6,69.4,0.034,96.0,105.6,70.1,-0.011
Mercer,UNC Greensboro,55,67,100.1,102.7,68.1,0.014,103.7,95.5,67.8,-0.009
Hofstra,UNC Wilmington,78,64,108.7,102.6,67.9,0.064,92.1,104.5,68.5,0.019
Western Illinois,North Dakota,83,86,98.3,115.0,71.3,-0.082,102.2,107.7,68.9,0.038
Sacramento St.,Northern Colorado,65,68,97.1,98.2,63.9,-0.026,110.2,100.1,65.0,-0.035
Miami OH,Northern Illinois,65,60,102.0,107.0,67.1,-0.022,99.8,100.8,64.8,0.044
Loyola Chicago,Northern Iowa,82,73,103.7,96.8,65.3,0.006,112.7,99.3,65.8,0.019
Kent St.,Ohio,87,72,106.1,102.1,68.9,-0.011,103.6,103.3,68.0,-0.01
North Texas,Old Dominion,64,47,111.2,101.2,62.9,-0.032,98.3,98.3,66.4,-0.091
Saint Mary's,Pacific,71,63,113.7,98.5,63.9,0.055,103.8,99.1,64.9,0.072
Virginia Tech,Pitt,67,57,104.3,98.0,65.5,-0.04,103.8,99.1,64.9,0.072
Ohio St.,Purdue,68,52,114.3,92.0,66.2,-0.038,109.3,90.8,64.6,-0.104
Campbell,Radford,60,73,96.8,105.3,65.6,-0.047,105.6,106.8,64.3,0.026
LIU,Sacred Heart,72,80,97.4,106.1,72.8,0.017,102.2,104.8,68.7,0.019
Mount St. Mary's,St. Francis PA,55,70,96.4,107.5,63.2,-0.074,107.6,107.9,68.9,0.037
Rhode Island,St. Joseph's,73,55,105.2,94.2,71.2,0.068,107.6,107.9,68.9,0.037
The Citadel,Samford,62,74,94.9,112.2,73.7,0.02,98.6,112.6,72.8,0.008
Air Force,San Jose St.,95,86,107.8,110.3,68.8,-0.059,97.5,107.8,73.3,0.009
UT Rio Grande Valley,Seattle,79,72,98.7,106.0,70.4,-0.013,101.2,105.5,69.9,-0.051
High Point,USC Upstate,62,54,94.5,113.6,66.4,0.035,95.5,110.8,69.2,0.036
Oral Roberts,South Dakota,94,80,108.2,104.9,70.4,-0.103,108.6,108.9,70.0,0.011
Nicholls St.,Southeastern Louisiana,81,71,99.7,101.5,68.7,0.05,92.0,109.6,72.1,-0.008
Southeast Missouri St.,SIU-Edwardsville,75,71,94.0,113.0,67.6,-0.016,92.0,109.6,72.1,-0.008
Northern Arizona,Southern Utah,82,69,102.3,106.7,66.6,0.071,98.8,98.1,69.3,-0.063
South Carolina,Tennessee,63,61,105.4,94.7,73.1,-0.023,106.6,95.8,65.2,-0.02
Tennessee St.,Tennessee Tech,70,55,96.4,104.6,69.3,0.054,92.5,109.3,66.9,0.025
Iowa St.,Texas,81,52,109.6,101.2,69.9,-0.092,104.1,92.6,65.9,0.089
James Madison,Towson,48,63,99.5,111.6,72.1,-0.016,105.7,104.8,65.1,0.014
South Florida,Tulsa,48,56,100.2,95.9,64.9,-0.047,103.2,93.6,65.8,0.076
Fresno St.,Utah St.,59,71,105.1,104.1,64.2,-0.117,109.5,94.6,67.4,0.034
New Mexico St.,Utah Valley,84,82,107.6,99.4,63.5,0.06,96.5,104.2,70.4,-0.092
Illinois St.,Valparaiso,62,65,98.4,102.9,68.5,-0.005,104.5,102.5,69.3,0.02
Florida,Vanderbilt,84,66,112.5,95.7,64.9,-0.047,104.7,104.5,69.4,-0.061
UNC,Virginia,62,64,112.5,95.7,64.9,-0.047,99.3,85.1,59.4,0.109
Richmond,VCU,77,59,109.2,95.3,69.3,0.044,104.7,94.4,69.0,-0.064
Merrimack,Wagner,68,59,93.9,98.8,63.2,0.137,97.3,113.9,67.5,-0.024
Miami FL,Wake Forest,71,54,107.7,101.3,68.3,0.034,108.7,102.0,70.1,-0.034
UCLA,Washington,67,57,109.3,99.4,64.9,0.047,105.8,93.1,69.8,-0.157
USC,Washington St.,70,51,104.3,92.0,68.9,0.083,102.2,98.0,70.8,-0.002
Montana St.,Weber St.,77,63,97.0,101.6,67.3,0.056,98.8,107.9,67.6,0.015
Wofford,Western Carolina,74,80,104.5,103.4,65.9,-0.019,107.3,106.3,71.5,0.049
UTSA,Western Kentucky,73,77,104.2,108.0,72.8,-0.047,108.9,103.3,68.3,0.023
Eastern Michigan,Western Michigan,69,51,94.2,96.6,66.8,0.028,99.4,105.7,67.4,0.043
Presbyterian,Winthrop,88,89,96.9,114.4,66.9,0.005,104.7,102.1,71.9,-0.044
Nebraska,Wisconsin,64,81,102.0,101.3,73.1,-0.047,110.8,91.9,63.7,0.031
Penn,Yale,69,61,103.4,100.8,70.2,0.025,107.9,96.4,67.4,-0.026
Oakland,Youngstown St.,72,64,98.6,105.0,66.1,-0.014,103.0,108.5,66.4,0.038
