home,away,predict_kp,date,draft_kings,line,home_cover,percent_chance,bet,score
Florida Gulf Coast,Bellarmine,2,2021-01-16,1.5,0.4382134238252711,0.0,0.5636533146789146,Bellarmine,-17.0
Samford,UNC Greensboro,-7,2021-01-16,-7.0,-6.400113571165607,0.0,0.5633019115695685,UNC Greensboro,-12.0
Clemson,Virginia,2,2021-01-16,-2.0,-2.8481051110957796,0.0,0.5624042451996687,Virginia,-35.0
Mississippi,Georgia,8,2021-01-16,8.0,6.297383789179047,1.0,0.562281696042965,Mississippi,-4.0
Central Arkansas,Nicholls St.,-2,2021-01-16,-3.5,-0.4841565721384065,0.0,0.5613941243935883,Nicholls St.,-2.0
Colgate,Holy Cross,19,2021-01-16,19.0,19.214928279854732,1.0,0.5598170909736937,Colgate,40.0
New Orleans,McNeese St.,6,2021-01-16,5.0,5.374469086801793,0.0,0.5594273753371802,McNeese St.,15.0
North Texas,UTEP,8,2021-01-16,8.0,6.637515138388164,1.0,0.5592034494994554,North Texas,9.0
Utah St.,San Diego St.,2,2021-01-16,3.5,-1.8708806089880348,0.0,0.5588687011242859,San Diego St.,5.0
Pittsburgh,Syracuse,-2,2021-01-16,-4.5,-4.028343896792055,0.0,0.5575972418822328,Syracuse,20.0
Marist,Fairfield,7,2021-01-16,5.5,6.737227431202836,1.0,0.5573388691510177,Marist,-3.0
Detroit,Green Bay,6,2021-01-16,6.0,5.332724465250744,0.0,0.5569626809053879,Green Bay,3.0
Louisiana Tech,UTSA,9,2021-01-16,8.0,6.736936888197487,0.0,0.5547443404664524,UTSA,16.0
Chattanooga,Wofford,-1,2021-01-16,-2.0,-1.9787147822602729,0.0,0.5542879296894976,Wofford,-18.0
Saint Mary's,Gonzaga,-13,2021-01-16,-15.0,-15.743209683678007,0.0,0.552781732819058,Gonzaga,-14.0
Tennessee Martin,Murray St.,-12,2021-01-16,-12.0,-11.277224270166332,0.0,0.5520836257552206,Murray St.,-22.0
Milwaukee,Purdue Fort Wayne,2,2021-01-16,2.5,0.7759356905055732,0.0,0.5491923313817679,Purdue Fort Wayne,-7.0
Illinois St.,Indiana St.,-4,2021-01-16,-4.5,-4.2757564894819104,0.0,0.5490898986520876,Indiana St.,-8.0
Drexel,William & Mary,9,2021-01-16,8.0,8.621595043317395,1.0,0.5479382795020129,Drexel,24.0
Illinois Chicago,Robert Morris,3,2021-01-16,4.0,1.3708580388316385,0.0,0.5465704020489937,Robert Morris,4.0
UC Santa Barbara,UC San Diego,8,2021-01-16,12.0,7.982336671308186,1.0,0.5443170364763593,UC Santa Barbara,31.0
Pacific,Loyola Marymount,2,2021-01-16,1.0,1.2228585927808346,1.0,0.5435522452292612,Pacific,9.0
Texas Tech,Baylor,-4,2021-01-16,-4.5,-6.438664155209214,0.0,0.5429757333970583,Baylor,-8.0
Oregon St.,Arizona St.,-6,2021-01-16,-6.0,-5.386373412953521,1.0,0.5428621845765108,Oregon St.,1.0
Loyola Chicago,Northern Iowa,11,2021-01-16,9.5,9.164581812713477,1.0,0.5426643075213724,Loyola Chicago,15.0
Idaho,Northern Colorado,-8,2021-01-16,-8.5,-8.378380498063553,0.0,0.5426194950777068,Northern Colorado,-14.0
Boston University,Army,2,2021-01-16,1.5,2.174396161914924,1.0,0.5407441416251927,Boston University,-20.0
Alabama,Arkansas,4,2021-01-16,2.0,3.487636130191998,0.0,0.5400989218206913,Arkansas,31.0
Georgia Southern,Troy,3,2021-01-16,5.5,3.4873778775242634,1.0,0.5395161037743652,Georgia Southern,7.0
Charlotte,UAB,-5,2021-01-16,-2.5,-7.079748003306482,1.0,0.5376976515865698,Charlotte,15.0
Georgia St.,Coastal Carolina,6,2021-01-16,7.0,5.532989863189397,0.0,0.5376136106864167,Coastal Carolina,3.0
UNLV,New Mexico,10,2021-01-16,10.5,10.167267815111485,1.0,0.5367479855149241,UNLV,23.0
Notre Dame,Boston College,3,2021-01-16,5.0,3.34066279158915,1.0,0.5349887985424686,Notre Dame,10.0
Florida St.,North Carolina,3,2021-01-16,4.5,3.3270792697255978,1.0,0.5330764748646685,Florida St.,7.0
Jacksonville St.,Belmont,-6,2021-01-16,-5.5,-8.264895855407463,0.0,0.5324193079286703,Belmont,-7.0
Alcorn St.,Mississippi Valley St.,15,2021-01-16,15.5,15.541104827795248,1.0,0.5307839966381096,Alcorn St.,12.0
Tennessee Tech,Tennessee St.,-1,2021-01-16,-1.5,0.3075827259131181,1.0,0.5300428140431682,Tennessee Tech,3.0
San Francisco,BYU,-1,2021-01-16,-1.5,-1.63714331191564,0.0,0.5292442313455483,BYU,-9.0
Abilene Christian,Southeastern Louisiana,16,2021-01-16,15.5,13.821179757646018,1.0,0.5284654952647062,Abilene Christian,34.0
UT Arlington,Louisiana,3,2021-01-16,3.5,4.331785542118407,1.0,0.5279722172157775,UT Arlington,-17.0
Alabama A&M,Alabama St.,7,2021-01-16,7.5,7.0367612789514125,1.0,0.5261896106025818,Alabama A&M,7.0
Montana St.,Portland St.,9,2021-01-16,6.5,8.452592846633504,1.0,0.5260385863834274,Montana St.,5.0
Little Rock,Texas St.,3,2021-01-16,4.0,2.915883701853314,1.0,0.5250485713958677,Little Rock,-11.0
Auburn,Kentucky,-1,2021-01-16,3.0,-0.7754314153033626,0.0,0.5235041011944455,Kentucky,7.0
Mississippi St.,Florida,-2,2021-01-16,-1.0,-2.6220831549917314,1.0,0.5230951326768533,Mississippi St.,3.0
Towson,James Madison,4,2021-01-16,2.0,3.9238269877671246,1.0,0.5225234607026682,Towson,-9.0
Lipscomb,North Florida,7,2021-01-16,7.0,6.714411973021139,0.0,0.5222068727113904,North Florida,-5.0
Texas,Kansas St.,19,2021-01-16,17.0,17.283075231391432,1.0,0.5221075195809651,Texas,15.0
VMI,The Citadel,6,2021-01-16,4.0,6.487401521129211,0.0,0.5214463701339935,The Citadel,7.0
Rhode Island,George Mason,8,2021-01-16,7.0,7.381237002235262,1.0,0.5195534404976233,Rhode Island,20.0
UT Rio Grande Valley,Dixie St.,10,2021-01-16,10.0,8.579340148495458,0.0,0.5189534751329847,Dixie St.,7.0
Texas A&M,Missouri,-3,2021-01-16,-4.5,-5.7055114512893725,1.0,0.5189315330104883,Texas A&M,-16.0
Rice,Old Dominion,-2,2021-01-16,-3.5,-1.4254614509726942,0.0,0.5184788773701658,Old Dominion,-3.0
DePaul,Valparaiso,10,2021-01-16,9.0,8.627346171030265,0.0,0.513965517779593,Valparaiso,19.0
Southeast Missouri St.,Morehead St.,-2,2021-01-16,-1.5,-3.1519968062962143,0.0,0.5134085157987518,Morehead St.,-14.0
Binghamton,UMass Lowell,-6,2021-01-16,-5.5,-5.804071155466364,1.0,0.5133485631789991,Binghamton,-14.0
Ball St.,Northern Illinois,12,2021-01-16,10.5,11.934340472825534,1.0,0.511470869920639,Ball St.,20.0
Southern,Arkansas Pine Bluff,10,2021-01-16,10.0,8.953625147477831,1.0,0.5113045187720242,Southern,35.0
UMBC,Hartford,6,2021-01-16,5.5,4.4893350911025856,0.0,0.5112045524178823,Hartford,-7.0
Stony Brook,New Hampshire,3,2021-01-16,3.0,2.10251546803455,1.0,0.5105861011434492,Stony Brook,-17.0
Incarnate Word,Stephen F. Austin,-10,2021-01-16,-12.5,-9.0720574474165,1.0,0.5105468478724208,Incarnate Word,-18.0
Ohio,Kent St.,4,2021-01-16,3.0,3.75808403943746,1.0,0.5103722655710006,Ohio,-10.0
Cal Baptist,Tarleton St.,5,2021-01-16,5.5,6.319860663462901,1.0,0.5102449445152293,Cal Baptist,6.0
Florida Atlantic,FIU,-1,2021-01-16,-0.5,-1.1426641425305384,0.0,0.5084199447672523,FIU,44.0
Bradley,Evansville,10,2021-01-16,8.5,9.197795708348151,1.0,0.5075721381319577,Bradley,9.0
Kennesaw St.,North Alabama,-7,2021-01-16,-6.0,-8.227188466662657,0.0,0.5064167109577594,North Alabama,-2.0
Utah,California,10,2021-01-16,11.5,9.158023739081482,1.0,0.5049062578726261,Utah,-9.0
Wright St.,Cleveland St.,7,2021-01-16,8.0,6.6692921979283115,0.0,0.5044970072041332,Cleveland St.,36.0
Air Force,Wyoming,-1,2021-01-16,-2.5,-2.1438621557510835,1.0,0.5042108408267473,Air Force,3.0
Tulane,Temple,-1,2021-01-16,1.0,-2.7858922737934826,1.0,0.5021150049613091,Tulane,-8.0
Arkansas St.,Louisiana Monroe,2,2021-01-16,2.0,1.9066081401985817,0.0,0.5020891936295728,Louisiana Monroe,21.0
South Alabama,Appalachian St.,2,2021-01-16,2.0,2.147497232194961,1.0,0.5011097887625711,South Alabama,-6.0
Seattle,Utah Valley,1,2021-01-16,1.5,0.8008592402134944,0.0,0.5005917210702497,Utah Valley,
Lafayette,Loyola MD,5,2021-01-16,6.0,5.709333529424053,0.0,0.5002519068698132,Loyola MD,2.0
