home,away,predict_kp,date,draft_kings
Cal St. Fullerton,Hawaii,-1,2021-01-23,-1.5
Bellarmine,Stetson,2,2021-01-23,2.5
Robert Morris,Northern Kentucky,1,2021-01-23,1.5
American,Loyola MD,2,2021-01-23,-1.0
Portland,San Diego,-4,2021-01-23,-3.0
Mercer,VMI,7,2021-01-23,9.0
Quinnipiac,Niagara,-1,2021-01-23,0.5
New Hampshire,Albany,3,2021-01-23,2.0
Hofstra,Towson,5,2021-01-23,6.0
South Alabama,Georgia Southern,4,2021-01-23,1.5
Portland St.,Idaho St.,-1,2021-01-23,2.5
Lipscomb,Florida Gulf Coast,4,2021-01-23,5.0
Tennessee St.,Eastern Illinois,-2,2021-01-23,-2.5
UTSA,Southern Miss,5,2021-01-23,5.5
Holy Cross,Lehigh,-1,2021-01-23,0.5
UNC Wilmington,Delaware,5,2021-01-23,4.0
Southeastern Louisiana,Northwestern St.,1,2021-01-23,1.0
Western Michigan,Akron,-7,2021-01-23,-7.5
Cleveland St.,Milwaukee,6,2021-01-23,3.5
Wofford,Western Carolina,8,2021-01-23,8.0
Houston Baptist,McNeese St.,3,2021-01-23,2.5
Incarnate Word,Texas A&M Corpus Chris,1,2021-01-23,1.0
Oregon,Oregon St.,15,2021-01-23,8.5
Coppin St.,Norfolk St.,-4,2021-01-23,-2.5
Grambling St.,Jackson St.,2,2021-01-23,2.5
UAB,Rice,10,2021-01-23,9.5
Northeastern,James Madison,8,2021-01-23,4.5
Middle Tennessee,Western Kentucky,-9,2021-01-23,-10.5
Northern Arizona,Montana St.,-5,2021-01-23,-6.0
Alabama St.,Alcorn St.,-2,2021-01-23,-2.5
Lafayette,Boston University,6,2021-01-23,7.0
New Mexico,San Jose St.,5,2021-01-23,10.0
Nicholls St.,New Orleans,7,2021-01-23,9.0
Louisiana Monroe,Texas St.,-7,2021-01-23,-5.5
Gonzaga,Pacific,23,2021-01-23,26.0
Dixie St.,Grand Canyon,-9,2021-01-23,-10.0
Richmond,La Salle,14,2021-01-23,14.5
Cal St. Northridge,UC Santa Barbara,-11,2021-01-23,-12.5
Louisiana,Arkansas St.,10,2021-01-23,10.0
IUPUI,Wright St.,-14,2021-01-23,-14.5
Coastal Carolina,Troy,10,2021-01-23,10.5
Abilene Christian,Central Arkansas,12,2021-01-23,13.0
Colgate,Bucknell,13,2021-01-23,14.0
Arkansas Pine Bluff,Texas Southern,-10,2021-01-23,-10.0
St. John's,Utah Valley,15,2021-01-23,15.0
North Florida,Kennesaw St.,10,2021-01-23,9.5
Murray St.,Tennessee Tech,12,2021-01-23,13.0
Stephen F. Austin,Lamar,12,2021-01-23,13.5
North Dakota St.,Denver,14,2021-01-23,14.0
Morehead St.,Tennessee Martin,13,2021-01-23,12.0
Belmont,SIU Edwardsville,17,2021-01-23,16.5
UC Irvine,Cal Poly,18,2021-01-23,16.0
Mississippi Valley St.,Prairie View A&M,-17,2021-01-23,-19.5
