teams,conf,adj_off,adj_def,adj_tempo,poss_off,poss_def,fg_off,fg_def,turnover_off,turnover_def,reb_off,reb_def,three_off,three_def,experience,height,wins_five,wins_last
Toledo,MAC,116.2,101.8,67.9,17.1,17.1,53.9,48.6,16.1,17.7,31.2,30.6,38.2,29.6,1.78,76.8,4,0
Boise St.,MWC,110.1,95.9,69.1,16.2,17.6,53.4,48.2,15.8,20.8,28.6,21.2,35.0,31.9,2.07,78.2,2,1
Michigan St.,B10,107.0,93.1,68.9,16.7,17.1,48.5,47.2,19.6,16.1,31.2,25.9,32.7,30.9,1.71,77.9,2,1
Utah,P12,110.7,97.4,66.8,17.9,17.7,51.9,49.7,17.4,20.6,25.7,30.1,34.3,35.3,1.37,77.5,4,1
Davidson,A10,113.0,99.9,63.4,19.1,18.2,55.9,49.4,17.5,15.2,29.3,18.8,35.8,32.4,1.76,78.4,4,1
St. John's,BE,111.2,98.4,73.2,14.9,17.4,51.2,52.9,16.9,22.7,29.1,30.9,35.7,35.0,1.48,77.0,4,0
Mississippi St.,SEC,108.1,95.3,66.0,18.1,17.3,50.4,47.6,21.3,18.5,36.8,26.4,36.8,32.9,1.26,78.9,2,0
Colorado St.,MWC,107.1,94.3,70.1,16.4,17.3,56.5,47.7,20.6,19.8,21.2,25.3,38.3,29.3,1.2,75.8,4,1
Marshall,CUSA,110.1,97.5,72.5,14.6,17.7,54.5,48.3,15.9,19.8,24.7,29.4,35.5,33.7,1.95,77.2,4,1
Northwestern,B10,107.8,95.7,69.4,16.1,18.1,51.9,50.5,16.0,16.9,19.0,26.1,35.2,34.1,1.51,77.9,0,0
N.C. State,ACC,109.4,97.5,69.0,16.7,17.5,52.9,51.9,18.8,22.8,29.5,30.9,36.1,35.3,1.7,77.0,2,0
Providence,BE,109.4,97.8,66.1,18.2,17.4,49.1,49.8,16.9,16.8,30.3,29.6,32.6,30.5,1.86,78.1,2,1
Rhode Island,A10,104.4,92.8,68.9,17.0,16.9,49.4,46.1,21.0,17.6,29.7,26.4,31.8,31.8,1.91,76.4,1,0
Saint Mary's,WCC,105.5,94.1,62.5,20.2,16.2,49.8,46.9,16.6,17.9,27.4,21.1,32.7,35.0,1.57,77.7,2,1
Pittsburgh,ACC,108.0,96.6,69.3,16.9,17.2,48.3,49.0,17.4,18.2,34.4,26.8,32.5,31.5,1.25,77.6,1,0
Belmont,OVC,113.2,102.1,70.9,15.7,17.3,59.5,49.6,16.6,21.4,24.2,27.0,37.3,35.1,1.36,77.0,5,1
North Texas,CUSA,105.1,94.2,64.0,18.4,17.3,55.1,45.7,20.7,21.3,27.6,26.1,36.9,30.3,2.32,76.9,4,1
South Carolina,SEC,106.3,95.7,73.7,15.5,16.7,48.2,50.9,20.7,22.7,35.3,32.5,31.0,34.3,1.65,77.5,2,0
Wichita St.,Amer,109.4,99.0,68.2,17.1,17.7,46.2,46.7,15.7,17.5,30.2,33.8,32.3,30.1,1.85,76.6,4,1
UC Santa Barbara,BW,107.1,96.9,65.7,17.3,18.0,53.3,45.7,15.5,21.6,27.3,25.2,35.9,31.2,2.32,77.3,5,1
Dayton,A10,107.9,98.1,64.9,19.0,17.5,55.5,48.5,21.4,18.2,22.6,28.3,37.1,31.4,1.95,77.9,3,0
Western Kentucky,CUSA,107.8,98.1,68.1,17.5,16.1,50.5,50.0,20.4,19.4,31.7,22.8,33.7,37.0,2.17,76.3,5,1
Arizona St.,P12,108.0,98.3,73.1,15.8,16.9,49.4,51.6,15.5,22.0,21.0,30.4,32.1,35.0,1.78,76.6,2,0
San Francisco,WCC,106.7,97.1,68.4,17.6,16.5,52.2,47.3,17.8,19.8,25.5,24.5,35.8,29.7,2.02,77.8,2,0
Marquette,BE,109.2,99.7,66.8,18.2,17.1,51.7,48.6,20.9,15.4,30.7,28.7,34.8,36.8,1.74,78.1,1,0
Buffalo,MAC,107.2,97.8,74.0,14.5,17.3,51.5,45.6,17.7,18.8,35.0,27.7,34.1,26.9,2.26,77.0,4,1
Georgia,SEC,108.9,99.5,72.9,15.5,16.6,51.6,51.3,22.5,22.1,35.6,33.9,32.5,32.7,1.89,75.8,3,0
Louisiana Tech,CUSA,102.8,93.8,69.6,16.6,17.1,49.8,46.0,18.3,18.8,26.7,23.5,33.1,30.0,2.12,76.2,4,1
Akron,MAC,107.8,98.9,68.5,17.3,17.4,54.2,47.8,18.3,16.9,29.3,25.3,34.7,29.9,1.93,75.6,4,1
Cincinnati,Amer,104.1,95.3,70.8,16.7,16.8,47.9,48.7,20.9,19.5,28.8,24.5,28.7,30.9,1.6,77.4,4,1
UAB,CUSA,103.9,95.2,67.0,17.4,17.9,50.0,44.6,14.7,23.7,28.5,25.8,30.8,29.7,2.28,76.8,4,0
Nevada,MWC,105.9,97.5,69.9,16.7,17.5,51.0,47.7,18.2,18.1,24.4,23.1,33.9,33.1,1.03,78.2,4,1
Furman,SC,108.7,100.6,68.7,16.2,17.3,55.7,50.9,19.3,21.6,29.6,29.3,34.4,34.5,1.96,76.5,2,0
Abilene Christian,Slnd,101.2,93.1,68.9,17.0,16.5,51.7,45.0,19.2,28.5,30.5,29.7,36.0,29.5,2.26,75.1,5,1
Kent St.,MAC,107.2,99.4,71.3,17.4,16.3,52.3,49.0,19.3,17.0,35.3,28.2,34.8,33.8,2.19,77.3,4,1
Georgetown,BE,105.3,97.7,69.5,16.3,16.9,49.0,49.0,21.5,14.8,31.9,25.7,34.9,34.2,2.15,78.1,2,0
Butler,BE,103.1,95.6,64.5,19.5,17.4,48.1,52.8,17.0,18.7,25.9,22.6,33.8,36.3,1.75,76.5,2,1
TCU,B12,107.9,100.6,67.2,18.4,16.7,51.4,50.0,20.1,16.6,30.0,27.9,35.2,32.3,1.15,77.7,2,1
Washington St.,P12,100.8,93.6,68.7,17.7,16.8,48.7,45.6,21.4,18.5,29.6,27.2,35.5,30.9,1.1,78.7,3,1
Massachusetts,A10,105.9,98.6,72.4,16.5,16.1,48.4,51.0,16.2,21.3,25.6,23.5,32.4,33.0,1.05,76.9,4,1
Colgate,Pat,108.3,101.1,70.4,15.6,17.4,56.0,43.3,13.4,17.5,28.1,25.5,38.3,24.4,1.84,76.5,5,1
Vermont,AE,104.8,97.7,67.1,17.6,17.8,53.9,45.4,19.4,20.7,28.9,21.9,34.2,29.4,2.4,76.3,5,1
UCF,Amer,104.1,97.1,66.8,17.8,17.4,48.6,50.2,22.8,20.5,29.8,32.7,35.0,33.1,1.53,77.7,2,1
Duquesne,A10,102.4,95.4,68.1,17.7,17.8,47.5,45.2,18.9,19.3,30.2,29.4,29.3,26.8,1.71,76.2,4,1
Winthrop,BSth,104.8,97.8,73.7,14.7,17.9,52.6,50.6,19.4,23.4,35.7,21.1,35.2,33.3,1.97,76.7,4,1
Yale,Ivy,107.9,101.0,68.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0,0
Tulsa,Amer,101.8,95.1,65.4,17.5,18.2,48.8,47.6,20.7,22.3,26.1,33.1,28.4,34.2,2.29,77.2,1,0
Ohio,MAC,110.2,103.5,69.1,16.9,16.7,55.5,52.2,17.0,20.7,28.1,26.9,35.2,35.5,1.45,77.0,4,1
Liberty,ASun,106.4,99.8,63.2,19.1,17.8,55.6,47.1,15.9,17.8,23.0,23.0,35.9,32.5,1.76,75.8,5,1
South Dakota St.,Sum,109.3,102.9,70.8,15.8,17.3,54.8,48.0,15.8,15.0,21.5,23.2,40.5,30.6,1.55,77.3,4,1
South Florida,Amer,102.6,96.4,66.7,18.0,17.0,46.9,49.3,22.0,19.0,34.8,25.7,34.3,28.6,1.89,78.3,2,0
