home,away,home_score,away_score,home_off,home_def,home_tempo,home_luck,away_off,away_def,away_tempo,away_luck,date
Nevada,San Jose St.,95,77,110.3,101,71,-0.007,97.5,107.8,73.3,0.009,2/8/2020
Utah Valley,Seattle,85,87,96.5,104.2,70.4,-0.092,101.2,105.5,69.9,-0.051,2/8/2020
North Dakota,South Dakota,68,82,102.2,107.7,68.9,0.038,108.6,108.9,70,0.011,2/8/2020
Memphis,South Florida,73,75,100.6,89.1,72.6,0.025,100.2,95.9,64.9,-0.047,2/8/2020
Incarnate Word,Southeastern Louisiana,82,75,90.3,112.8,66.1,0.066,92,109.6,72.1,-0.008,2/8/2020
Grambling St.,Southern,66,62,93.1,105.1,68.7,0.046,97.2,104.8,66.8,0.006,2/8/2020
Arizona St.,USC,66,64,106,94.7,73.2,0.069,104.3,92,68.9,0.083,2/8/2020
Temple,SMU,97,90,100.1,94.6,70.3,-0.052,112.4,103.8,64.8,0.004,2/8/2020
Western Kentucky,Southern Miss,75,72,108.9,103.3,68.3,0.023,94.4,103.8,67.2,-0.01,2/8/2020
Duquesne,St. Bonaventure,80,83,106.6,99,67.8,0.049,106.6,102.2,65.7,0.052,2/8/2020
New Hampshire,Stony Brook,81,64,95,102.1,68.6,0.011,97.7,99.4,69.8,0.021,2/8/2020
Southeast Missouri St.,Tennessee Tech,60,62,94,113,67.6,-0.016,92.5,109.3,66.9,0.025,2/8/2020
South Carolina,Texas A&M,74,54,105.4,94.7,73.1,-0.023,101,97.2,64.5,0.098,2/8/2020
Coastal Carolina,UT Arlington,89,75,104.8,106.2,72.8,-0.033,102.3,98.4,67.7,-0.13,2/8/2020
Old Dominion,UTEP,72,53,98.3,98.3,66.4,-0.091,96.9,98.2,67.5,-0.005,2/8/2020
Chicago St.,UT Rio Grande Valley,64,75,86.9,120.8,69,-0.029,98.7,106,70.4,-0.013,2/8/2020
Charlotte,UTSA,91,84,98.5,98,65.5,0.008,104.2,108,72.8,-0.047,2/8/2020
Prairie View A&M,Texas Southern,69,59,96.3,100.5,70.7,-0.001,99.1,108.6,72.9,0.086,2/8/2020
Appalachian St.,Texas St.,60,57,99.9,100.2,67.2,0.041,106.3,98.3,65.2,-0.05,2/8/2020
