home,away,home_score,away_score,home_off,home_def,home_tempo,home_luck,away_off,away_def,away_tempo,away_luck,date
Nebraska Omaha,Denver,85,62,103.2,107.7,69.2,0.077,95,106.8,70.9,-0.044,2/16/2020
Fordham,Duquesne,54,59,89.1,95.9,64.8,-0.1,106.6,99,67.8,0.049,2/16/2020
Drake,Evansville,85,80,102,101.3,67.9,0.065,96.9,107.4,67.6,0.015,2/16/2020
St. Peter's,Fairfield,61,44,102,101.3,67.9,0.065,90.1,101.6,63.2,0.045,2/16/2020
Northern Kentucky,UIC,43,73,102,99.8,65.7,0.074,90.1,101.6,63.2,0.045,2/16/2020
Michigan,Indiana,89,65,113.2,93,68.7,-0.048,108.5,92.7,67.9,0.016,2/16/2020
South Dakota St.,Purdue Fort Wayne,75,64,110,105.3,68,-0.022,95.4,103.8,67.9,-0.006,2/16/2020
Wright St.,IUPUI,106,66,104.9,101.4,72.1,0.033,99.4,115.6,70.8,-0.068,2/16/2020
Siena,Manhattan,65,52,107.2,105.1,66.7,-0.001,92.8,101.6,65.8,-0.011,2/16/2020
Iona,Marist,78,70,101.6,106.1,68.7,-0.077,90.2,103.8,65.2,-0.105,2/16/2020
UConn,Memphis,64,61,101.6,106.1,68.7,-0.077,100.6,89.1,72.6,0.025,2/16/2020
Indiana St.,Missouri St.,58,71,105.8,101.2,66.4,0.043,104.8,100.2,68.3,-0.083,2/16/2020
Niagara,Monmouth,77,72,100.1,111.6,66,0.068,99.1,101.8,72.6,0.061,2/16/2020
Boston College,NC St.,71,68,99.6,100.3,69.3,0.065,99.1,101.8,72.6,0.061,2/16/2020
Rider,Quinnipiac,79,63,100.9,102.1,71.1,0.036,100.7,108.3,68.9,0.028,2/16/2020
Wichita St.,Tulane,82,57,105.6,90.4,69.5,0.041,101.9,103.1,68.7,-0.014,2/16/2020
Kansas,Iowa St.,91,71,115.8,85.5,67.3,0.04,109.6,101.2,69.9,-0.092,2/17/2020
Alcorn St.,Arkansas Pine Bluff,60,52,96.9,111.3,70.1,0.037,79,104.6,66.1,-0.008,2/17/2020
Delaware St.,Bethune Cookman,70,71,94.1,117.2,74.7,-0.042,95.4,105.8,73,0.012,2/17/2020
Holy Cross,Bucknell,48,69,95.9,117.3,68.3,-0.042,96.2,102.9,69.5,0.004,2/17/2020
Norfolk St.,Coppin St.,80,60,94.2,101.9,67.5,-0.052,89.6,105.3,73.4,0.038,2/17/2020
Maryland Eastern Shore,Florida A&M,81,71,81.7,107.8,67.5,-0.024,94.4,107.3,68.6,0.1,2/17/2020
Texas Southern,Grambling St.,93,79,99.1,108.6,72.9,0.086,93.1,105.1,68.7,0.046,2/17/2020
Portland St.,Idaho,90,69,108.8,108.8,71.8,0,92.8,107.1,68.9,-0.023,2/17/2020
Prairie View A&M,Jackson St.,70,61,96.3,100.5,70.7,-0.001,92.8,102.3,68.7,-0.012,2/17/2020
Southern,Mississippi Valley St.,95,62,97.2,104.8,66.8,0.006,89.8,117.6,77.1,-0.027,2/17/2020
South Carolina St.,Morgan St.,72,78,94.9,113.2,67.4,0.014,93.2,107.5,69.6,0.039,2/17/2020
Notre Dame,UNC,77,76,110.7,98.6,68.1,-0.021,93.2,107.5,69.6,0.039,2/17/2020
North Carolina A&T,North Carolina Central,77,60,92.3,102.4,73.7,0.068,94.2,103.2,66.6,0.065,2/17/2020
St. John's,Xavier,74,77,106.1,95.2,72.9,-0.037,106.1,92.2,68.1,-0.013,2/17/2020
Oklahoma,Baylor,54,65,108.8,93.1,69.6,0.031,113.5,88.1,66.2,0.016,2/18/2020
VCU,Dayton,61,66,104.7,94.4,69,-0.064,119.1,94.1,67.6,0.002,2/18/2020
Maryland,Northwestern,76,67,113.5,92.4,67,0.037,104.9,101.3,66.7,-0.087,2/18/2020
Florida St.,Pitt,82,67,111.7,91.5,69.9,0.065,104.9,101.3,66.7,-0.087,2/18/2020
Penn St.,Illinois,56,62,110.3,92.4,70.9,0.014,110.9,93.7,66,0.022,2/18/2020
LSU,Kentucky,76,79,118.1,102.4,70,-0.02,112.7,95.1,67.7,0.018,2/18/2020
Marquette,Creighton,65,73,114,96.9,70.7,-0.046,118.2,97.3,68.3,0.072,2/18/2020
West Virginia,Oklahoma St.,65,47,108.3,87.1,69.4,-0.028,107.2,94.5,68.4,0.034,2/18/2020
Western Michigan,Akron,67,71,99.4,105.7,67.4,0.043,108.5,98.9,69.4,0.022,2/18/2020
Florida,Arkansas,73,59,112.5,95.7,64.9,-0.047,109.1,95.5,71.2,-0.047,2/18/2020
Buffalo,Ball St.,72,59,104.1,102.3,73.9,0.045,99.2,94,68,-0.089,2/18/2020
Ohio,Central Michigan,77,69,103.6,103.3,68,-0.01,102,106.4,73.6,-0.036,2/18/2020
UNLV,Colorado St.,80,56,107.9,100.6,67,-0.019,109.3,102.1,69.3,0.045,2/18/2020
St. Joseph's,Davidson,73,72,107.9,100.6,67,-0.019,112.5,101.9,64.8,-0.094,2/18/2020
Central Connecticut,Fairleigh Dickinson,76,75,90.3,114,69.5,-0.014,102.1,112.4,68.9,-0.027,2/18/2020
Eastern Michigan,Kent St.,70,49,94.2,96.6,66.8,0.028,106.1,102.1,68.9,-0.011,2/18/2020
Bryant,Merrimack,61,52,97.8,103.8,70.3,-0.055,93.9,98.8,63.2,0.137,2/18/2020
Missouri,Ole Miss,71,68,104.1,96.7,66.5,-0.057,93.9,98.8,63.2,0.137,2/18/2020
Wagner,Mount St. Mary's,67,61,97.3,113.9,67.5,-0.024,96.4,107.5,63.2,-0.074,2/18/2020
New Mexico,Nevada,74,88,105.3,102.4,71.8,0.044,110.3,101,71,-0.007,2/18/2020
Wisconsin,Purdue,69,65,110.8,91.9,63.7,0.031,109.3,90.8,64.6,-0.104,2/18/2020
St. Francis PA,Robert Morris,86,71,107.6,107.9,68.9,0.037,100.5,103.8,66.1,0.027,2/18/2020
UMass,Saint Louis,67,63,107.6,107.9,68.9,0.037,105.8,94.4,67.6,0.026,2/18/2020
LIU,St. Francis NY,77,87,97.4,106.1,72.8,0.017,94.6,106.5,70.3,0.024,2/18/2020
UT Rio Grande Valley,Texas-Permian Basin,93,80,98.7,106,70.4,-0.013,94.6,106.5,70.3,0.024,2/18/2020
Tennessee,Vanderbilt,65,61,106.6,95.8,65.2,-0.02,104.7,104.5,69.4,-0.061,2/18/2020
