teams,conf,adj_off,adj_def,adj_tempo,poss_off,poss_def,fg_off,fg_def,turnover_off,turnover_def,reb_off,reb_def,three_off,three_def,experience,height,wins_five,wins_last
Northwestern,B10,105.4,91.9,68.7,16.4,18.1,50.3,50.2,17.2,17.9,19.9,25.9,34.6,33.2,1.5,77.9,0,0
North Texas,CUSA,106.1,92.9,63.1,19.0,17.5,54.0,45.7,20.3,21.4,27.8,26.9,37.3,31.6,2.45,77.0,0,0
Utah,P12,111.2,98.1,67.9,17.7,17.7,53.1,51.2,18.4,19.6,23.6,29.5,35.5,36.0,1.35,77.7,0,0
N.C. State,ACC,110.1,97.0,68.2,17.0,18.0,52.7,51.5,18.6,22.0,29.9,32.6,36.3,35.6,1.62,77.2,0,0
Wichita St.,Amer,110.7,97.7,67.6,17.5,17.7,47.6,47.1,15.9,18.1,29.8,33.4,34.5,30.8,1.89,76.4,0,0
Saint Mary's,WCC,101.6,88.7,63.1,20.2,16.2,47.5,47.6,17.1,18.8,26.1,22.0,29.3,34.8,1.62,77.7,0,0
Providence,BE,108.1,95.4,66.6,18.2,17.3,48.3,48.6,17.2,16.8,29.1,29.9,32.0,29.7,1.88,78.0,0,0
Mississippi St.,SEC,107.2,94.6,65.7,18.4,17.2,49.6,47.0,21.9,17.5,36.4,27.6,33.5,32.3,1.19,78.9,0,0
Ohio,MAC,113.7,101.2,69.3,17.0,16.5,55.8,51.1,17.0,20.0,28.7,27.5,36.6,33.7,1.44,76.9,0,0
Dayton,A10,109.1,96.9,66.2,18.6,17.4,55.4,48.3,21.4,17.5,23.7,28.4,37.4,31.8,1.91,77.8,0,0
Marquette,BE,108.3,96.1,67.7,18.3,16.7,50.6,47.7,20.9,15.9,29.1,28.3,32.3,33.9,1.75,78.0,0,0
Notre Dame,ACC,114.6,102.4,67.5,17.4,18.1,53.9,50.8,15.7,12.7,22.0,29.8,36.8,36.6,2.22,78.6,0,0
Louisiana Tech,CUSA,104.1,92.3,69.4,16.8,17.1,50.5,45.6,18.3,18.8,27.1,23.4,34.6,29.6,2.11,76.2,0,0
