away_x,away_y,bet,date,draft_kings,home,home_cover,lasso,linear,percent_chance,predict_kp,rf,score
Georgia Southern,Georgia Southern,Georgia Southern,2021-01-23,1.5,South Alabama,0.0,,,0.5485,4,,14.0
Lehigh,Lehigh,Holy Cross,2021-01-23,0.5,Holy Cross,1.0,,,0.5478,-1,,-3.0
Missouri,Missouri,Tennessee,2021-01-23,7.0,Tennessee,1.0,,,0.5469,6,,-9.0
George Mason,George Mason,George Mason,2021-01-23,-3.5,Saint Joseph's,0.0,,,0.5452,-1,,-9.0
LSU,LSU,LSU,2021-01-23,1.5,Kentucky,0.0,,,0.5444,-1,,13.0
Stetson,Stetson,Bellarmine,2021-01-23,2.5,Bellarmine,1.0,,,0.5434,2,,11.0
Army,Army,Navy,2021-01-23,3.0,Navy,1.0,,,0.5433,4,,7.0
Furman,Furman,East Tennessee St.,2021-01-23,-4.5,East Tennessee St.,1.0,,,0.5413,-3,,9.0
Mississippi St.,Mississippi St.,Mississippi St.,2021-01-23,9.5,Alabama,0.0,,,0.5395,12,,8.0
New Orleans,New Orleans,Nicholls St.,2021-01-23,9.0,Nicholls St.,1.0,,,0.5327,7,,24.0
Hawaii,Hawaii,Cal St. Fullerton,2021-01-23,-1.5,Cal St. Fullerton,1.0,,,0.5276,-1,,-23.0
Florida Gulf Coast,Florida Gulf Coast,Florida Gulf Coast,2021-01-23,5.0,Lipscomb,0.0,,,0.5273,4,,15.0
Kennesaw St.,Kennesaw St.,North Florida,2021-01-23,9.5,North Florida,1.0,,,0.5271,10,,3.0
Norfolk St.,Norfolk St.,Coppin St.,2021-01-23,-2.5,Coppin St.,1.0,,,0.5256,-4,,10.0
McNeese St.,McNeese St.,Houston Baptist,2021-01-23,2.5,Houston Baptist,1.0,,,0.5189,3,,-3.0
Jackson St.,Jackson St.,Jackson St.,2021-01-23,2.5,Grambling St.,0.0,,,0.5135,2,,-14.0
Towson,Towson,Hofstra,2021-01-23,6.0,Hofstra,1.0,,,0.5111,5,,13.0
Colorado,Colorado,Colorado,2021-01-23,-10.0,Washington St.,0.0,,,0.5104,-10,,-11.0
Long Beach St.,Long Beach St.,Long Beach St.,2021-01-23,3.5,Cal Baptist,0.0,,,0.5076,1,,21.0
Ohio St.,Ohio St.,Ohio St.,2021-01-23,5.0,Wisconsin,0.0,,,0.5059,4,,-12.0
