away,away_score,date,draft_kings,home,home_score,lasso,linear,predict_kp,rf,score
Kansas St.,67.0,2021-01-16,17.0,Texas,82.0,21.0,15.0,19,7.0,15.0
North Alabama,66.0,2021-01-16,-6.0,Kennesaw St.,64.0,-15.0,-22.0,-7,-21.0,-2.0
Northern Colorado,75.0,2021-01-16,-8.5,Idaho,61.0,-10.0,-13.0,-8,-9.0,-14.0
Fairfield,55.0,2021-01-16,5.5,Marist,52.0,7.0,3.0,7,9.0,-3.0
Evansville,60.0,2021-01-16,8.5,Bradley,69.0,17.0,24.0,10,9.0,9.0
Stephen F. Austin,83.0,2021-01-16,-12.5,Incarnate Word,65.0,-13.0,-14.0,-10,-1.0,-18.0
Alabama St.,63.0,2021-01-16,7.5,Alabama A&M,70.0,-7.0,-16.0,7,-1.0,7.0
Portland,65.0,2021-01-16,13.0,Pepperdine,80.0,19.0,23.0,12,12.0,15.0
Dixie St.,65.0,2021-01-16,10.0,UT Rio Grande Valley,72.0,15.0,20.0,10,23.0,7.0
Norfolk St.,87.0,2021-01-16,-10.0,Delaware St.,76.0,-12.0,-13.0,-9,2.0,-11.0
Arkansas Pine Bluff,53.0,2021-01-16,10.0,Southern,88.0,12.0,16.0,10,10.0,35.0
UC Riverside,70.0,2021-01-16,-10.0,Cal Poly,53.0,-17.0,-23.0,-11,-20.0,-17.0
Murray St.,79.0,2021-01-16,-12.0,Tennessee Martin,57.0,-8.0,-7.0,-12,-9.0,-22.0
Northern Illinois,58.0,2021-01-16,10.5,Ball St.,78.0,15.0,22.0,12,6.0,20.0
Northern Arizona,62.0,2021-01-16,12.5,Montana,58.0,14.0,13.0,11,6.0,-4.0
Colorado St.,88.0,2021-01-16,-19.5,San Jose St.,61.0,-15.0,-16.0,-18,-30.0,-27.0
Southeastern Louisiana,42.0,2021-01-16,15.5,Abilene Christian,76.0,16.0,20.0,16,9.0,34.0
Mississippi Valley St.,59.0,2021-01-16,15.5,Alcorn St.,71.0,25.0,35.0,15,7.0,12.0
Maine,30.0,2021-01-16,17.0,Vermont,65.0,18.0,16.0,17,6.0,35.0
Holy Cross,55.0,2021-01-16,19.0,Colgate,95.0,16.0,7.0,19,8.0,40.0
Penn St.,72.0,2021-01-17,5.0,Purdue,80.0,8.0,6.0,4,4.0,8.0
Iowa,96.0,2021-01-17,-10.0,Northwestern,73.0,-5.0,-6.0,-8,-6.0,-23.0
Memphis,57.0,2021-01-17,-1.5,Tulsa,58.0,-2.0,-4.0,1,4.0,1.0
Western Kentucky,69.0,2021-01-17,3.0,Marshall,67.0,0.0,1.0,4,-1.0,-2.0
Virginia Tech,64.0,2021-01-17,-7.0,Wake Forest,60.0,-9.0,-6.0,-8,-3.0,-4.0
Santa Clara,69.0,2021-01-17,-3.5,San Diego,63.0,-3.0,-8.0,-2,-6.0,-6.0
UCF,58.0,2021-01-17,14.0,Houston,75.0,20.0,25.0,13,4.0,17.0
Lafayette,72.0,2021-01-17,1.0,Loyola MD,70.0,0.0,8.0,-1,-0.0,-2.0
Dayton,67.0,2021-01-17,-7.5,George Washington,54.0,-9.0,-9.0,-8,-9.0,-13.0
Northern Iowa,46.0,2021-01-17,10.5,Loyola Chicago,88.0,11.0,8.0,11,10.0,42.0
Hofstra,68.0,2021-01-17,-3.5,Delaware,67.0,-2.0,-1.0,-1,11.0,-1.0
Fresno St.,65.0,2021-01-17,6.5,Nevada,79.0,4.0,5.0,8,12.0,14.0
Indiana St.,74.0,2021-01-17,-5.5,Illinois St.,68.0,-5.0,-6.0,-5,-3.0,-6.0
Army,76.0,2021-01-17,-4.0,Boston University,65.0,-2.0,-3.0,-1,-13.0,-11.0
Massachusetts,65.0,2021-01-17,-8.5,Fordham,46.0,-9.0,-5.0,-7,2.0,-19.0
New Hampshire,67.0,2021-01-17,1.5,Stony Brook,64.0,-3.0,-3.0,1,-5.0,-3.0
Hartford,49.0,2021-01-17,6.0,UMBC,57.0,5.0,3.0,4,-2.0,8.0
Sacramento St.,56.0,2021-01-17,2.0,Idaho St.,57.0,3.0,9.0,-1,4.0,1.0
Cal St. Northridge,77.0,2021-01-17,2.0,Cal St. Fullerton,85.0,-2.0,-2.0,-1,-1.0,8.0
Bucknell,77.0,2021-01-17,-1.0,Lehigh,61.0,3.0,4.0,1,-4.0,-16.0
American,59.0,2021-01-17,5.5,Navy,71.0,13.0,5.0,6,-14.0,12.0
