team,off,def,tempo,luck
Tennessee St.,92.2,102.6,73.1,0.0
Lehigh,95.2,105.7,72.3,0.0
Oakland,94.9,105.5,72.0,-0.07
Southern Miss,92.8,103.4,69.2,0.0
Albany,92.3,103.0,71.2,0.0
Fairfield,88.9,99.7,69.8,-0.185
Jacksonville,91.8,102.6,72.6,0.011
Merrimack,90.5,101.5,68.2,0.0
Cal St. Northridge,96.3,107.3,72.8,-0.092
Troy,92.0,103.1,70.6,0.15
Radford,92.4,103.7,67.6,-0.038
Portland St.,96.0,107.3,76.5,0.0
Prairie View A&M,91.1,102.7,70.6,0.064
North Florida,97.6,109.2,71.6,-0.09
Jackson St.,89.8,101.5,72.1,0.0
St. Francis NY,93.1,104.7,74.7,0.0
North Carolina A&T,90.8,102.5,73.3,-0.049
Morehead St.,93.1,104.9,68.5,-0.001
Sam Houston St.,94.2,106.2,73.1,0.0
Denver,94.5,106.4,72.1,0.0
Tennessee Tech,89.8,102.0,70.7,-0.13
Northern Arizona,94.3,106.4,70.1,0.0
Idaho St.,93.9,106.1,69.0,-0.0
Texas A&M Corpus Chris,92.3,104.6,71.3,-0.147
New Orleans,92.4,104.7,72.8,-0.09
Florida A&M,90.1,102.6,70.9,0.0
Longwood,90.2,102.7,71.1,-0.121
Dixie St.,93.1,105.7,72.5,0.0
Howard,96.4,109.5,71.8,-0.0
Sacred Heart,94.3,107.5,72.4,0.0
Evansville,90.8,104.0,67.0,-0.217
Morgan St.,90.7,104.2,71.9,-0.058
The Citadel,95.0,108.8,76.9,0.0
Cal St. Fullerton,89.6,103.3,72.6,0.0
SIU Edwardsville,91.2,105.1,71.5,-0.12
Cal Poly,90.8,104.9,73.0,0.0
McNeese St.,95.8,109.9,72.8,-0.138
Southeast Missouri St.,93.5,108.2,71.8,0.109
Grambling St.,87.4,102.3,72.8,-0.032
Southeastern Louisiana,90.2,105.2,74.7,0.013
Tarleton St.,91.0,106.1,71.5,-0.09
Tennessee Martin,95.5,110.8,72.1,0.0
Coppin St.,86.8,102.2,75.9,-0.03
Hampton,92.6,108.3,74.5,0.158
Central Connecticut,91.9,108.6,73.5,0.082
Alabama A&M,87.2,104.7,72.2,0.0
Binghamton,89.6,107.2,71.1,-0.0
Alcorn St.,88.4,106.4,73.2,0.0
Idaho,89.3,108.0,71.3,-0.0
Presbyterian,90.0,109.0,72.1,0.0
Incarnate Word,90.4,109.6,70.2,-0.0
Western Illinois,89.7,109.3,72.9,-0.165
Holy Cross,89.3,109.0,71.8,0.0
Maine,85.6,106.0,69.7,0.0
Bethune Cookman,88.0,108.6,75.8,0.0
Houston Baptist,92.0,112.7,75.6,-0.0
Alabama St.,84.1,105.8,72.4,0.0
Kennesaw St.,85.2,107.5,70.9,-0.0
Delaware St.,87.4,109.7,76.5,0.0
Arkansas Pine Bluff,83.4,106.3,71.8,-0.002
Maryland Eastern Shore,81.8,107.5,71.2,0.0
Chicago St.,86.8,113.2,71.4,-0.007
South Carolina St.,84.3,111.6,74.0,-0.008
Mississippi Valley St.,83.6,115.5,78.1,-0.002
